,Common Name,Type,Family,Native Range,Zone,Height,Spread,Bloom Time,Bloom Description,Sun,Water,Maintenance,Suggested Use,Flower,Tolerate,Invasive,Leaf,Attracts,Fruit,Other
Lonicera flava, honeysuckle , Vine, Caprifoliaceae, Southeast United States, 5 to 8, 10.00 to 20.00 feet, 3.00 to 6.00 feet, April to May, orange-yellow, Full sun to part shade, Medium, Low,," Showy, Fragrant"," Deer, Black Walnut",,," Birds, Hummingbirds, Butterflies", Showy,
Lonicera sempervirens, trumpet honeysuckle , Vine, Caprifoliaceae, Southeastern United States, 4 to 9, 8.00 to 15.00 feet, 3.00 to 6.00 feet, May to June, Scarlet/orange with yellow inside, Full sun, Medium, Low, Naturalize, Showy," Deer, Clay Soil, Black Walnut", Where is this species invasive in the US?,," Birds, Hummingbirds, Butterflies", Showy,
Ludwigia alternifolia, seedbox , Herbaceous perennial, Onagraceae, Eastern North America, 4 to 8, 2.00 to 3.00 feet, 1.00 to 1.50 feet, June to August, Yellow, Full sun to part shade, Medium to wet, Medium," Water Plant, Rain Garden", Showy,,,,, Showy,
Lyonia lucida, fetter bush , Broadleaf evergreen, Ericaceae, Southeastern United States, 7 to 9, 3.00 to 6.00 feet, 3.00 to 6.00 feet, March to May, White, Full sun to part shade, Medium, Medium," Hedge, Naturalize, Rain Garden"," Showy, Fragrant"," Erosion, Wet Soil",, Evergreen,, Showy, Winter Interest
Maclura pomifera, osage orange , Tree, Moraceae," Arkansas, Texas, Louisiana, Oklahoma", 4 to 9, 35.00 to 60.00 feet, 35.00 to 60.00 feet, June, Green, Full sun to part shade, Dry to medium, Low," Hedge, Shade Tree", Insignificant," Drought, Clay Soil, Air Pollution", Where is this species invasive in the US?,,, Showy, Thorns
Magnolia acuminata, cucumber tree , Tree, Magnoliaceae, Eastern North America, 3 to 8, 40.00 to 70.00 feet, 20.00 to 35.00 feet, April to May, Greenish yellow, Full sun to part shade, Medium, Low," Shade Tree, Flowering Tree"," Showy, Fragrant", Black Walnut,, Good Fall,, Showy,
Magnolia grandiflora, southern magnolia , Tree, Magnoliaceae, Southeastern United States, 7 to 9, 60.00 to 80.00 feet, 30.00 to 50.00 feet, May to June, White, Full sun to part shade, Medium, Medium, Flowering Tree," Showy, Fragrant", Air Pollution,, Evergreen,, Showy, Winter Interest
Magnolia tripetala, umbrella tree , Tree, Magnoliaceae, Eastern North America, 5 to 8, 15.00 to 30.00 feet, 15.00 to 30.00 feet, May, White, Full sun to part shade, Medium, Low, Flowering Tree, Showy,,,,,,
Magnolia virginiana, sweet bay magnolia , Tree, Magnoliaceae, Eastern United States, 5 to 10, 10.00 to 35.00 feet, 10.00 to 35.00 feet, May to June, White, Full sun to part shade, Medium to wet, Low," Flowering Tree, Rain Garden"," Showy, Fragrant"," Clay Soil, Wet Soil, Air Pollution",,,, Showy,
Maianthemum racemosum, false Solomon's seal , Herbaceous perennial, Asparagaceae, North America, 3 to 8, 2.00 to 3.00 feet, 1.50 to 2.00 feet, April to May, Creamy white, Part shade, Medium, Medium, Naturalize," Showy, Fragrant",,,,, Showy,
Manfreda virginica, American agave , Herbaceous perennial, Asparagaceae," Southern United States, Mexico", 6 to 9, 3.00 to 6.00 feet, 3.00 to 4.00 feet, July to October, Yellow-green, Full sun to part shade, Dry to medium, Low,," Showy, Fragrant"," Drought, Dry Soil, Shallow-Rocky Soil",,,,,
Medeola virginiana, Indian cucumber root , Herbaceous perennial, Liliaceae, Eastern North America, 3 to 8, 1.00 to 2.00 feet, 1.00 to 1.50 feet, May to June, Greenish yellow, Part shade to full shade, Medium to wet, Low," Naturalize, Rain Garden", Showy, Wet Soil,, Good Fall,, Showy,
Menispermum canadense, common moonseed , Vine, Menispermaceae, Eastern North America, 5 to 8, 8.00 to 20.00 feet, 3.00 to 6.00 feet, May to July, Greenish-white, Full sun to part shade, Medium, Medium," Ground Cover, Naturalize", Showy,,,,, Showy,
Mertensia virginica, Virginia bluebells , Herbaceous perennial, Boraginaceae, North America, 3 to 8, 1.50 to 2.00 feet, 1.00 to 1.50 feet, March to April, Blue, Part shade to full shade, Medium, Medium,, Showy," Rabbit, Black Walnut",,,,,
Mimulus alatus, winged monkey flower , Herbaceous perennial, Phrymaceae, Central and eastern United States, 5 to 8, 1.00 to 3.00 feet, 0.75 to 1.50 feet, June to September, Pale blue, Full sun to part shade, Medium to wet, Low," Naturalize, Rain Garden", Showy," Deer, Wet Soil",,,,,
Mimulus ringens, Allegheny monkey flower , Herbaceous perennial, Phrymaceae, North America, 3 to 8, 1.00 to 3.00 feet, 0.75 to 1.00 feet, June to September, Lilac-purple, Full sun to part shade, Medium to wet, Low," Water Plant, Naturalize, Rain Garden", Showy," Deer, Wet Soil",,,,,
Mitchella repens, partridge berry , Broadleaf evergreen, Rubiaceae, North America, 3 to 8, 0.00 to 0.25 feet, 0.50 to 1.00 feet, May to July, White, Part shade to full shade, Medium, Low," Ground Cover, Naturalize"," Showy, Fragrant"," Heavy Shade, Dry Soil",, Colorful,," Showy, Edible", Winter Interest
Monarda bradburiana, eastern beebalm , Herbaceous perennial, Lamiaceae, Southern and central United States, 5 to 8, 1.00 to 2.00 feet, 1.00 to 2.00 feet, May, Pink to white with purple, Full sun to part shade, Dry to medium, Low," Herb, Naturalize, Rain Garden"," Showy, Fragrant, Good Cut"," Deer, Drought, Dry Soil, Shallow-Rocky Soil",, Fragrant," Hummingbirds, Butterflies",,
Monarda citriodora, lemon mint , Annual, Lamiaceae," Central and southern United States, and northern Mexico", 2 to 11, 1.00 to 2.50 feet, 0.75 to 1.00 feet, May to August, Lavender to pink to white, Full sun to part shade, Dry to medium, Low," Annual, Naturalize"," Showy, Fragrant"," Deer, Drought",, Fragrant," Hummingbirds, Butterflies",,
Monarda fistulosa, wild bergamot , Herbaceous perennial, Lamiaceae, North America, 3 to 9, 2.00 to 4.00 feet, 2.00 to 3.00 feet, July to September, Pink/lavender, Full sun to part shade, Dry to medium, Medium," Herb, Naturalize, Rain Garden"," Showy, Fragrant, Good Cut, Good Dried"," Deer, Drought, Clay Soil, Dry Soil, Shallow-Rocky Soil, Black Walnut",, Fragrant," Hummingbirds, Butterflies",,
Monarda punctata, dotted beebalm , Herbaceous perennial, Lamiaceae, United States, 3 to 8, 1.50 to 2.00 feet, 0.75 to 1.00 feet, June to July, Yellow with purple spots, Full sun to part shade, Dry to medium, Medium, Naturalize," Showy, Good Cut"," Deer, Drought",, Fragrant, Butterflies,,
Morella cerifera, wax myrtle , Broadleaf evergreen, Myricaceae," North America, Central America, Caribbean", 7 to 10, 10.00 to 15.00 feet, 8.00 to 10.00 feet, February to March, Drab yellow-green male flowers, Full sun to part shade, Medium to wet, Low, Hedge," Fragrant, Insignificant"," Rabbit, Deer, Drought, Erosion, Wet Soil",," Fragrant, Evergreen"," Birds, Butterflies", Showy, Winter Interest
Morus rubra, red mulberry , Tree, Moraceae," Eastern United States, extreme southeastern Canada", 4 to 8, 35.00 to 50.00 feet, 35.00 to 40.00 feet, March to April, Green, Full sun to part shade, Medium, Medium, Naturalize, Insignificant," Drought, Air Pollution",,, Birds," Showy, Edible",
Muhlenbergia capillaris, pink muhlygrass , Ornamental grass, Poaceae, Western-central United States, 5 to 9, 2.00 to 3.00 feet, 2.00 to 3.00 feet, September to November, Pink to pinkish-red, Full sun to part shade, Dry to medium, Low, Naturalize, Showy," Drought, Black Walnut, Air Pollution",,,,, Winter Interest
Nelumbo lutea, American lotus , Herbaceous perennial, Nelumbonaceae, Eastern North America, 4 to 10, 3.00 to 6.00 feet, 3.00 to 4.00 feet, June to July, Pale yellow, Full sun, Wet, Low," Water Plant, Naturalize, Rain Garden"," Showy, Fragrant",, Where is this species invasive in the US?,,,,
Nothoscordum bivalve, false garlic , Bulb, Amaryllidaceae," Southern North America, South America", 5 to 9, 0.75 to 1.25 feet, 0.25 to 0.75 feet, March to May, White with yellow tinged bases, Full sun to part shade, Dry to medium, Low, Naturalize, Showy," Drought, Dry Soil, Shallow-Rocky Soil",,, Butterflies,,
Nuphar lutea, yellow pond lily , Herbaceous perennial, Nymphaeaceae," Eurasia, northern Africa, eastern United States, West Indies", 4 to 10, 0.50 to 2.00 feet, 3.00 to 6.00 feet, May to October, Greenish-yellow, Full sun to part shade, Wet, Low," Water Plant, Naturalize, Rain Garden"," Showy, Fragrant",,,,,,
Nyssa aquatica, tupelo gum , Tree, Nyssaceae, Southeastern United States, 6 to 9, 50.00 to 80.00 feet, 25.00 to 50.00 feet, April to May, Greenish-white, Full sun to part shade, Medium to wet, Low, Rain Garden, Insignificant,,, Good Fall,,,
Nyssa sylvatica, black gum , Tree, Nyssaceae, Eastern North America, 3 to 9, 30.00 to 50.00 feet, 20.00 to 30.00 feet, May to June, Greenish white, Full sun to part shade, Medium to wet, Low," Shade Tree, Street Tree, Rain Garden", Insignificant," Clay Soil, Wet Soil, Black Walnut",, Good Fall, Birds,,
Oenothera biennis, common evening primrose , Herbaceous perennial, Onagraceae, Eastern North America, 4 to 9, 3.00 to 5.00 feet, 2.00 to 3.00 feet, June to September, Yellow, Full sun to part shade, Medium, Medium, Naturalize, Showy, Drought,,," Birds, Butterflies",,
Oenothera pilosella, evening primrose , Herbaceous perennial, Onagraceae, Central North America, 3 to 8, 1.00 to 2.00 feet, 1.50 to 2.00 feet, June to July, Yellow, Full sun, Medium to wet, Low," Naturalize, Rain Garden", Showy,,,,,,
Oenothera speciosa, white evening primrose , Herbaceous perennial, Onagraceae, Southwestern United States to Mexico, 4 to 9, 0.75 to 2.00 feet, 1.00 to 1.50 feet, May to July, White maturing to rosy pink, Full sun, Dry to medium, Low, Naturalize, Showy, Drought,,,, Showy,
Onoclea sensibilis, sensitive fern , Fern, Onocleaceae, Eastern North America, 4 to 8, 3.00 to 4.00 feet, 3.00 to 4.00 feet, Non-flowering, Non-flowering, Part shade to full shade, Medium to wet, Medium," Naturalize, Rain Garden",," Rabbit, Heavy Shade, Clay Soil, Wet Soil, Black Walnut",,,,,
Opuntia humifusa, prickly-pear , Herbaceous perennial, Cactaceae, Eastern and central United States, 4 to 9, 0.50 to 1.00 feet, 1.00 to 1.50 feet, June to July, Yellow (sometimes with reddish eye), Full sun, Dry, Low, Naturalize, Showy," Rabbit, Drought, Dry Soil, Shallow-Rocky Soil",, Evergreen,," Showy, Edible"," Winter Interest, Thorns"
Osmorhiza longistylis, sweet cicely , Herbaceous perennial, Apiaceae, Central and eastern North America, 5 to 8, 2.00 to 3.00 feet, 2.00 to 3.00 feet, May to June, White, Full sun to part shade, Medium, Low," Herb, Vegetable", Showy,,,,,,
Osmunda claytoniana, interrupted fern , Fern, Osmundaceae," North America, Himalaya, China", 3 to 8, 2.00 to 3.00 feet, 2.00 to 3.00 feet, Non-flowering, Non-flowering, Part shade to full shade, Medium to wet, Low,,," Rabbit, Heavy Shade",,,,,
Osmunda regalis, royal fern , Fern, Osmundaceae, Cosmopolitan, 3 to 9, 2.00 to 3.00 feet, 2.00 to 3.00 feet, Non-flowering, Non-flowering, Part shade to full shade, Medium to wet, Low," Naturalize, Rain Garden",," Rabbit, Heavy Shade, Wet Soil",,,,,
Ostrya virginiana, eastern hop hornbeam , Tree, Betulaceae," Eastern North America, Mexico", 3 to 9, 25.00 to 40.00 feet, 20.00 to 30.00 feet, April, Red-brown (male); light green (female), Full sun to part shade, Medium, Low," Shade Tree, Street Tree", Insignificant," Deer, Drought, Clay Soil",,,,,
Oxalis violacea, violet wood sorrel , Herbaceous perennial, Oxalidaceae, North America, 5 to 9, 0.50 to 0.75 feet, 0.50 to 0.75 feet, May," Pink, lavender", Full sun to part shade, Medium, Low," Herb, Naturalize", Showy,,,,,,
Oxydendrum arboreum, sourwood , Tree, Ericaceae, Eastern and southern United States, 5 to 9, 20.00 to 50.00 feet, 10.00 to 25.00 feet, June to July, White, Full sun to part shade, Medium, Low, Flowering Tree," Showy, Fragrant", Deer,, Good Fall,, Showy,
Packera aurea, golden ragwort , Herbaceous perennial, Asteraceae, Eastern North America to Texas, 3 to 8, 0.50 to 2.50 feet, 0.50 to 1.50 feet, April, Yellow, Full sun to part shade, Medium to wet, Medium," Ground Cover, Naturalize, Rain Garden", Showy, Wet Soil,,, Butterflies,,
Packera obovata, round-leaved ragwort , Herbaceous perennial, Asteraceae, Southeastern United States, 3 to 8, 1.00 to 1.50 feet, 0.50 to 1.00 feet, April to June, Yellow, Full sun to part shade, Medium to wet, Medium," Ground Cover, Naturalize, Rain Garden", Showy,,,, Butterflies,,
Panicum virgatum, switch grass , Ornamental grass, Poaceae, North America, 5 to 9, 3.00 to 6.00 feet, 2.00 to 3.00 feet, July to February, Pink-tinged, Full sun to part shade, Medium to wet, Low," Naturalize, Rain Garden"," Showy, Good Cut, Good Dried"," Drought, Erosion, Dry Soil, Wet Soil, Black Walnut, Air Pollution",, Good Fall, Birds,, Winter Interest
Parthenium integrifolium, wild quinine , Herbaceous perennial, Asteraceae, Eastern United States to Wisconsin and Arkansas, 4 to 8, 2.00 to 4.00 feet, 1.00 to 2.00 feet, May to August, White, Full sun, Dry to medium, Low,," Showy, Good Cut, Good Dried"," Drought, Erosion, Clay Soil, Dry Soil, Shallow-Rocky Soil",, Fragrant,,,
Parthenocissus quinquefolia, Virginia creeper , Vine, Vitaceae, Eastern United States to Mexico, 3 to 9, 30.00 to 50.00 feet, 5.00 to 10.00 feet, May to August, Greenish white, Full sun to part shade, Medium, Medium,, Insignificant," Deer, Drought, Heavy Shade, Erosion, Clay Soil, Black Walnut",, Good Fall, Birds, Showy,
Passiflora incarnata, purple passionflower , Vine, Passifloraceae, Eastern United States, 5 to 9, 6.00 to 8.00 feet, 3.00 to 6.00 feet, July to September, White with purple crown, Full sun to part shade, Medium, Medium,," Showy, Fragrant", Drought,,, Butterflies," Showy, Edible",
Pedicularis canadensis, common lousewort , Herbaceous perennial, Orobanchaceae," Southeastern Canada, northern Mexico, eastern United States to Florida", 4 to 8, 1.00 to 1.50 feet, 0.50 to 1.00 feet, April to May, Yellow to purple-red, Full sun to part shade, Medium, Low, Naturalize, Showy,,,,,,
Peltandra virginica, green arrow arum , Herbaceous perennial, Araceae, Eastern and central North America, 5 to 9, 1.50 to 2.00 feet, 1.50 to 2.00 feet, April to June, Greenish-white to greenish-yellow, Full sun to part shade, Wet, Medium," Water Plant, Naturalize, Rain Garden", Showy, Heavy Shade,,,,,
Penstemon canescens, beardtongue , Herbaceous perennial, Plantaginaceae, Eastern United States, 5 to 8, 1.00 to 3.00 feet, 1.00 to 1.50 feet, May to June, Pale to dark violet, Full sun, Dry to medium, Low,, Showy, Deer,,,,,
Penstemon digitalis, beardtongue , Herbaceous perennial, Plantaginaceae, Eastern and southeastern United States, 3 to 8, 3.00 to 5.00 feet, 1.50 to 2.00 feet, April to June, White, Full sun, Dry to medium, Medium," Naturalize, Rain Garden"," Showy, Good Cut"," Deer, Drought, Clay Soil, Dry Soil",,," Hummingbirds, Butterflies",,
Penstemon pallidus, pale beardtongue , Herbaceous perennial, Plantaginaceae, Central and eastern United States, 4 to 8, 1.50 to 2.50 feet, 1.00 to 1.50 feet, May to June, White, Full sun to part shade, Dry to medium, Low,, Showy," Deer, Drought, Dry Soil",,, Butterflies,,
Persea borbonia, redbay , Tree, Lauraceae," Bahamas, southern United States", 7 to 9, 30.00 to 50.00 feet, 30.00 to 50.00 feet, May to June, Light yellow-green, Full sun to part shade, Medium to wet, Low," Naturalize, Rain Garden", Insignificant," Drought, Wet Soil",," Fragrant, Evergreen"," Birds, Butterflies",, Winter Interest
Phalaris arundinacea, reed canary grass , Ornamental grass, Poaceae, Northern and southern temperate regions, 4 to 9, 3.00 to 6.00 feet, 3.00 to 8.00 feet, June to July, White to pale pink, Full sun to part shade, Medium to wet, Medium," Naturalize, Rain Garden", Showy," Drought, Clay Soil, Wet Soil, Black Walnut, Air Pollution", Where is this species invasive in the US?,,,,
Philadelphus pubescens, broad-leaf mock orange , Deciduous shrub, Hydrangeaceae, Southeastern United States, 6 to 9, 4.00 to 10.00 feet, 4.00 to 10.00 feet, June to July, White, Full sun to part shade, Medium, Medium, Hedge," Showy, Fragrant"," Rabbit, Deer",,,,,
Phlox divaricata, wild sweet William , Herbaceous perennial, Polemoniaceae, Eastern North America, 3 to 8, 0.75 to 1.00 feet, 0.75 to 1.00 feet, April to May, Rose/lavender or violet/blue, Part shade to full shade, Medium, Medium," Ground Cover, Naturalize"," Showy, Fragrant"," Deer, Drought, Clay Soil, Dry Soil",,," Hummingbirds, Butterflies",,
Phlox drummondii, phlox , Annual, Polemoniaceae, Texas, 2 to 11, 0.50 to 1.00 feet, 0.50 to 1.00 feet, May to July, Rose-red, Full sun to part shade, Medium, Medium, Annual," Showy, Fragrant", Deer,,," Hummingbirds, Butterflies",,
Phlox glaberrima, smooth phlox , Herbaceous perennial, Polemoniaceae, Central and eastern United States, 3 to 8, 2.00 to 4.00 feet, 2.00 to 2.50 feet, April to May," Reddish purple to pink, some white", Full sun to part shade, Medium, Medium, Naturalize," Showy, Fragrant, Good Cut", Deer,,," Hummingbirds, Butterflies",,
Phlox maculata, spotted phlox , Herbaceous perennial, Polemoniaceae, Eastern United States, 3 to 8, 2.00 to 3.00 feet, 1.00 to 2.00 feet, August to October, Pinkish-purple, Full sun to part shade, Medium, Medium,,, Deer,,, Hummingbirds,,
Phlox paniculata, garden phlox , Herbaceous perennial, Polemoniaceae, Eastern United States, 4 to 8, 2.00 to 4.00 feet, 2.00 to 3.00 feet, July to September, Pink-purple to white, Full sun to part shade, Medium, Medium,," Showy, Fragrant"," Deer, Clay Soil, Black Walnut",,," Birds, Hummingbirds, Butterflies",,
Phlox pilosa, prairie phlox , Herbaceous perennial, Polemoniaceae, Eastern Texas, 4 to 9, 1.00 to 1.50 feet, 1.00 to 1.50 feet, May to July, Pink to pale purple, Full sun, Medium, Medium, Naturalize," Showy, Fragrant"," Deer, Drought, Clay Soil",,," Hummingbirds, Butterflies",,
Phlox stolonifera, creeping phlox , Herbaceous perennial, Polemoniaceae, Southeastern United States, 5 to 9, 0.50 to 1.00 feet, 0.75 to 1.50 feet, July to September, Purple/violet, Full sun to part shade, Medium, Low," Ground Cover, Naturalize", Showy," Rabbit, Deer, Drought, Air Pollution",,,,,
Phlox subulata, moss phlox , Herbaceous perennial, Polemoniaceae, Eastern and central United States, 3 to 9, 0.25 to 0.50 feet, 1.00 to 2.00 feet, March to May, Red-purple to violet-purple to pink to white, Full sun, Medium, Medium," Ground Cover, Naturalize", Showy," Deer, Drought, Erosion, Air Pollution",,, Butterflies,,
Physocarpus opulifolius, ninebark , Deciduous shrub, Rosaceae, Central and eastern North America, 2 to 8, 5.00 to 8.00 feet, 4.00 to 6.00 feet, May to June, White or pink, Full sun to part shade, Dry to medium, Medium, Hedge, Showy," Drought, Erosion, Clay Soil, Dry Soil, Wet Soil, Shallow-Rocky Soil, Black Walnut",,,,,
Physostegia angustifolia, obedient plant , Herbaceous perennial, Lamiaceae, Central United States, 3 to 9, 2.00 to 4.00 feet, 2.00 to 3.00 feet, August to September, Pink, Full sun, Medium, Medium, Naturalize," Showy, Good Cut", Deer,,,,,
Physostegia virginiana, obedient plant , Herbaceous perennial, Lamiaceae, North America, 3 to 9, 3.00 to 4.00 feet, 2.00 to 3.00 feet, June to September," Pink, white", Full sun, Medium, Medium," Naturalize, Rain Garden"," Showy, Good Cut"," Deer, Clay Soil",,, Hummingbirds,,
Phytolacca americana, pokeweed , Herbaceous perennial, Phytolaccaceae, Southeastern US, 4 to 8, 4.00 to 10.00 feet, 2.00 to 3.00 feet, July to September, Greenish-white, Full sun to part shade, Medium, Low, Naturalize, Showy, Rabbit, Where is this species invasive in the US?, Fragrant, Birds, Showy,
Pinus echinata, short-leaf pine , Needled evergreen, Pinaceae, Southeastern United States, 6 to 9, 50.00 to 60.00 feet, 20.00 to 35.00 feet, Non-flowering, Non-flowering, Full sun, Dry to medium, Low,,," Deer, Drought, Dry Soil",, Evergreen,,, Winter Interest
Pinus strobus, eastern white pine , Needled evergreen, Pinaceae," Southeastern Canada, eastern United States", 3 to 8, 50.00 to 80.00 feet, 20.00 to 40.00 feet, Non-flowering, Non-flowering, Full sun to part shade, Medium, Low,,," Rabbit, Deer", Where is this species invasive in the US?, Evergreen, Birds, Showy, Winter Interest
Pinus taeda, loblolly pine , Needled evergreen, Pinaceae, Southeastern United States, 6 to 9, 40.00 to 90.00 feet, 20.00 to 40.00 feet, Non-flowering, Non-flowering, Full sun, Medium to wet, Low, Rain Garden,, Deer,, Evergreen,,, Winter Interest
Platanus occidentalis, American sycamore , Tree, Platanaceae, Southeastern United States, 4 to 9, 75.00 to 100.00 feet, 75.00 to 100.00 feet, April, Yellow (male) and red (female), Full sun, Medium to wet, High," Shade Tree, Rain Garden", Insignificant," Deer, Wet Soil, Black Walnut, Air Pollution",,,, Showy, Winter Interest
Podophyllum peltatum, may-apple , Herbaceous perennial, Berberidaceae, Eastern North America south to Texas, 3 to 8, 1.00 to 1.50 feet, 0.75 to 1.00 feet, April, White, Part shade to full shade, Medium, Medium,, Showy," Drought, Dry Soil, Black Walnut",,,," Showy, Edible",
Polemonium reptans, Jacob's ladder , Herbaceous perennial, Polemoniaceae, Eastern North America, 3 to 8, 1.00 to 1.50 feet, 1.00 to 1.50 feet, April to June, Blue, Full sun to part shade, Medium, Medium, Naturalize, Showy," Deer, Black Walnut",,,,,
Polygonatum biflorum, Solomon's seal , Herbaceous perennial, Asparagaceae," Eastern United States, south-central Canada", 3 to 8, 1.00 to 3.00 feet, 1.00 to 1.50 feet, April to May, Greenish white, Part shade to full shade, Medium to wet, Low," Naturalize, Rain Garden", Showy," Erosion, Wet Soil",, Good Fall,,,
Polystichum acrostichoides, Christmas fern , Fern, Dryopteridaceae, Eastern North America, 3 to 9, 1.00 to 2.00 feet, 1.00 to 2.00 feet, Non-flowering, Non-flowering, Part shade to full shade, Dry to medium, Low,,," Rabbit, Deer, Drought, Heavy Shade, Erosion, Dry Soil, Shallow-Rocky Soil",, Evergreen,,, Winter Interest
Pontederia cordata, pickerel weed , Herbaceous perennial, Pontederiaceae, Eastern North America to Caribbean, 3 to 10, 2.00 to 4.00 feet, 1.50 to 2.00 feet, June to October, Soft blue, Full sun, Wet, Medium," Water Plant, Naturalize, Rain Garden", Showy,,,, Butterflies," Showy, Edible",
Populus deltoides, eastern cottonwood , Tree, Salicaceae, Eastern and central United States, 2 to 9, 50.00 to 80.00 feet, 35.00 to 60.00 feet, March to April, Red (male) and green (female), Full sun, Medium to wet, Medium," Shade Tree, Rain Garden", Insignificant," Drought, Air Pollution",,,,,
Prunus americana, wild plum , Tree, Rosaceae, Eastern and central North America, 3 to 8, 15.00 to 25.00 feet, 15.00 to 25.00 feet, March, White, Full sun to part shade, Dry to medium, Low, Flowering Tree," Showy, Fragrant"," Drought, Dry Soil, Black Walnut",,, Birds," Showy, Edible", Thorns
Prunus angustifolia, chickasaw plum , Deciduous shrub, Rosaceae, Southern United States, 5 to 9, 4.00 to 20.00 feet, 4.00 to 20.00 feet, March, White, Full sun to part shade, Medium, Low,," Showy, Fragrant", Erosion,,," Birds, Butterflies"," Showy, Edible", Thorns
Prunus caroliniana, cherry laurel , Broadleaf evergreen, Rosaceae, Southern United States, 7 to 10, 15.00 to 20.00 feet, 10.00 to 15.00 feet, February to April, White, Full sun to part shade, Medium, Low," Hedge, Flowering Tree, Naturalize", Showy, Drought,,, Birds, Showy,
Prunus mexicana, Mexican plum , Tree, Rosaceae, United states, 6 to 8, 15.00 to 25.00 feet, 15.00 to 25.00 feet, April to May, White, Full sun to part shade, Medium, Medium, Flowering Tree, Showy,,,, Birds," Showy, Edible",
Prunus serotina, black cherry , Tree, Rosaceae, North America, 3 to 9, 50.00 to 80.00 feet, 30.00 to 60.00 feet, April to May, White, Full sun to part shade, Medium, Low," Shade Tree, Flowering Tree"," Showy, Fragrant", Black Walnut,, Good Fall, Birds, Showy,
Ptelea trifoliata, hop tree , Tree, Rutaceae, Eastern and central United States, 4 to 9, 15.00 to 20.00 feet, 15.00 to 20.00 feet, June, Greenish white, Part shade to full shade, Dry to medium, Low," Hedge, Flowering Tree"," Fragrant, Insignificant"," Drought, Dry Soil, Shallow-Rocky Soil",, Fragrant,, Showy, Winter Interest
Pteridium aquilinum, bracken , Fern, Dennstaedtiaceae, Northern Hemisphere, 3 to 10, 3.00 to 4.00 feet, 4.00 to 5.00 feet, Non-flowering, Non-flowering, Full sun, Medium, Medium, Naturalize,, Drought,,,,,
Pycnanthemum incanum, mountain mint , Herbaceous perennial, Lamiaceae, Eastern United States, 4 to 8, 2.00 to 3.00 feet, 3.00 to 4.00 feet, July to September, White sometimes tinged with lavender, Full sun to part shade, Dry to medium, Low, Naturalize, Showy," Drought, Erosion, Dry Soil",, Fragrant, Butterflies,,
Pycnanthemum muticum, blunt mountainmint , Herbaceous perennial, Lamiaceae, United States, 4 to 8, 1.00 to 3.00 feet, 1.00 to 3.00 feet, July to September, Pink, Full sun to part shade, Medium, Low, Naturalize, Showy, Drought,,, Butterflies,,
Pycnanthemum tenuifolium, slender mountain mint , Herbaceous perennial, Lamiaceae, Eastern North America, 4 to 8, 2.00 to 3.00 feet, 2.00 to 3.00 feet, July to September, White, Full sun to part shade, Dry to medium, Low," Naturalize, Rain Garden"," Showy, Good Cut"," Drought, Erosion, Clay Soil, Dry Soil, Shallow-Rocky Soil",, Fragrant,,,
Pycnanthemum virginianum, American mountain mint , Herbaceous perennial, Lamiaceae, Eastern United States, 3 to 7, 2.00 to 3.00 feet, 1.00 to 1.50 feet, July to September, White, Full sun, Medium, Low,, Showy,,, Fragrant,,,
Quercus alba, white oak , Tree, Fagaceae, Eastern United States, 3 to 9, 50.00 to 80.00 feet, 50.00 to 80.00 feet, May, Yellowish-green, Full sun, Dry to medium, Medium," Shade Tree, Street Tree", Insignificant," Drought, Clay Soil, Dry Soil, Shallow-Rocky Soil, Black Walnut",,,, Showy,
Quercus bicolor, swamp white oak , Tree, Fagaceae, Northeastern North America, 3 to 8, 50.00 to 60.00 feet, 50.00 to 60.00 feet, April, Yellowish-green, Full sun, Medium to wet, Low," Shade Tree, Street Tree, Rain Garden", Insignificant, Wet Soil,, Good Fall, Birds,,
Quercus coccinea, scarlet oak , Tree, Fagaceae," Eastern United States, southern Canada", 4 to 9, 50.00 to 70.00 feet, 40.00 to 50.00 feet, April to May, Yellowish-green, Full sun, Dry to medium, Low," Shade Tree, Street Tree",," Drought, Dry Soil, Black Walnut",, Good Fall,,,
Quercus falcata, southern red oak , Tree, Fagaceae, Southeastern United States, 6 to 9, 60.00 to 80.00 feet, 40.00 to 50.00 feet, April to May, Green (female)Red (male), Full sun, Dry to medium, Low," Shade Tree, Street Tree", Insignificant," Drought, Air Pollution",,,,,
Quercus imbricaria, shingle oak , Tree, Fagaceae, Eastern and central United States, 5 to 8, 40.00 to 60.00 feet, 40.00 to 60.00 feet, April, Yellowish-green, Full sun, Medium, Low, Shade Tree, Insignificant," Drought, Black Walnut",, Good Fall,, Showy,
Quercus laurifolia, laurel oak , Tree, Fagaceae, Southeastern United States, 7 to 9, 40.00 to 60.00 feet, 40.00 to 60.00 feet, March to April, Yellowish-green, Full sun, Medium to wet, Medium, Shade Tree, Insignificant, Clay Soil,,,, Showy, Winter Interest
Quercus lyrata, overcup oak , Tree, Fagaceae, Central and southern United States, 5 to 9, 40.00 to 60.00 feet, 40.00 to 60.00 feet, March to April, Yellow catkins (male); Red spikes (female), Full sun, Medium to wet, Low, Shade Tree, Insignificant," Erosion, Clay Soil, Wet Soil",, Good Fall,, Showy,
