,Hardiness,Climate Zones,Plant Type,Plant Family,Exposure,Season of Interest,Height,Spread,Water Needs,Maintenance,Soil Type,Soil pH,Soil Drainage,Characteristics,Native Plants,Tolerance,Garden Uses,Garden Styles,Depth,Attracts,Spacing,Heat Zones
"rhus glabra
",3 – 9 What's My Zone?,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 14, 15, 16, 17",Shrubs,Rhus - Sumacs,"Full Sun, Partial Sun","Spring (Late)Summer (Early,Mid,Late)Fall",9' – 15' (270cm – 4.5m),9' – 15' (270cm – 4.5m),"Low, Average",Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,"Showy, Fruit & Berries","United States, Alaska, California, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Pacific Northwest, Idaho, Oregon, Washington, Rocky Mountains, Colorado, Montana, Utah, Wyoming, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Nevada, Arizona, New Mexico, Oklahoma, Texas","Drought, Rabbit, Dry Soil, Rocky Soil",Banks and Slopes,"Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies",,1 – 8 What's My Zone?
"rhus typhina
",3 – 8 What's My Zone?,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 14, 15, 16, 17, A1, A2, A3","Shrubs, Trees",Rhus - Sumacs,"Full Sun, Partial Sun","Summer (Early,Mid,Late)Fall",15' – 25' (4.5m – 7.5m),20' – 30' (6m – 9m),"Low, Average",Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Showy, Fruit & Berries","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Rocky Mountains, Utah, Southeast, Alabama, Georgia, Kentucky, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia","Drought, Rabbit, Dry Soil, Rocky Soil","Banks and Slopes, Beds and Borders","Coastal Garden, Informal and Cottage",,Birds,,1 – 8 What's My Zone?
"robinia hispida
",6 – 11 What's My Zone?,,Shrubs,,Full Sun,Spring (Late)Summer (Early),2' – 10' (60cm – 3m),5' – 15' (150cm – 4.5m),"Low, Average",Average,"Chalk, Loam, Sand","Alkaline, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Pacific Northwest, Oregon, Washington, Rocky Mountains, Utah, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, New Mexico, Oklahoma, Texas","Deer, Drought, Dry Soil, Rocky Soil","Banks and Slopes, Beds and Borders, Hedges and Screens, Wall-Side Borders","City and Courtyard, Coastal Garden, Informal and Cottage",,,,6 – 12 What's My Zone?
"robinia pseudoacacia
",4 – 9 What's My Zone?,"1A, 1B, 2A, 2B, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Trees,,Full Sun,Spring (Late)Summer (Early)Fall,30' – 50' (9m – 15m),20' – 35' (6m – 10.5m),"Low, Average",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Fragrant, Showy","United States, California, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Pacific Northwest, Idaho, Oregon, Washington, Rocky Mountains, Colorado, Montana, Utah, Wyoming, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Nevada, New Mexico, Oklahoma, Texas","Clay Soil, Deer, Drought, Dry Soil",,Prairie and Meadow,,"Birds, Butterflies, Hummingbirds",,3 – 9 What's My Zone?
"rosa carolina
",4 – 9 What's My Zone?,,"Roses, Shrubs","Rosa - Shrub Roses, Rosa - Roses",Full Sun,Spring (Late)Summer (Early)Fall,3' – 6' (90cm – 180cm),5' – 10' (150cm – 3m),"Low, Average",Average,"Clay, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained","Fragrant, Showy, Fruit & Berries","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Drought, Dry Soil","Beds and Borders, Hedges and Screens","Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies","60"" – 120"" (150cm – 300cm)",
"rosa palustris
",4 – 9 What's My Zone?,,"Roses, Shrubs","Rosa - Shrub Roses, Rosa - Roses",Full Sun,"Spring (Late)Summer (Early,Mid)",3' – 6' (90cm – 180cm),3' – 6' (90cm – 180cm),"Average, High",Average,"Clay, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Poorly Drained","Showy, Fruit & Berries","United States, Midwest, Illinois, Indiana, Iowa, Michigan, Missouri, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia",Wet Soil,"Bog Gardens, Ponds and Streams, Rain Gardens","Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies","60"" – 72"" (150cm – 180cm)",
"rosa setigera
",5 – 8 What's My Zone?,,"Climbers, Roses, Shrubs","Rosa - Rambling Roses, Rosa - Roses","Full Sun, Partial Sun",Spring (Late)Summer (Early)Fall,6' – 12' (180cm – 3.6m),8' – 10' (240cm – 3m),Average,Average,"Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Fragrant, Showy, Fruit & Berries","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Missouri, Nebraska, Ohio, Wisconsin, Northeast, Connecticut, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas",,"Beds and Borders, Hedges and Screens","Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies","96"" – 120"" (240cm – 300cm)",
"rosa virginiana
",3 – 8 What's My Zone?,,"Roses, Shrubs","Rosa - Shrub Roses, Rosa - Roses","Full Sun, Partial Sun","Summer (Early,Mid,Late)FallWinter",4' – 6' (120cm – 180cm),6' – 8' (180cm – 240cm),"Low, Average",Average,"Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Fragrant, Plant of Merit, Showy, Fruit & Berries","United States, Midwest, Illinois, Missouri, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Georgia, North Carolina, Tennessee, Virginia",Salt,Beds and Borders,"Coastal Garden, Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies","96"" (240cm)",
"rubus occidentalis
",4 – 8 What's My Zone?,,"Fruit, Shrubs",Rubus - Brambles,"Full Sun, Partial Sun","Spring (Late)Summer (Early,Late)Fall",3' – 6' (90cm – 180cm),4' – 8' (120cm – 240cm),Average,Average,"Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained","Showy, Fruit & Berries","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Rocky Mountains, Colorado, Southeast, Alabama, Arkansas, Georgia, Kentucky, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma",,,,,"Birds, Butterflies, Hummingbirds","72"" – 96"" (180cm – 240cm)",
"rubus odoratus
",3 – 8 What's My Zone?,,Shrubs,Rubus - Brambles,"Full Sun, Partial Sun","Summer (Early,Mid,Late)",3' – 6' (90cm – 180cm),6' – 12' (180cm – 3.6m),Average,Low,"Chalk, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Fragrant, Showy, Fruit & Berries","United States, Midwest, Illinois, Indiana, Michigan, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Georgia, Kentucky, North Carolina, Tennessee, Virginia, West Virginia",,"Banks and Slopes, Hedges and Screens",Informal and Cottage,,"Birds, Butterflies","96"" – 144"" (240cm – 360cm)",1 – 7 What's My Zone?
"rudbeckia hirta
",3 – 10 What's My Zone?,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","Annuals, Perennials",Rudbeckia,Full Sun,"Summer (Early,Mid,Late)Fall",2' – 3' (60cm – 90cm),1' – 2' (30cm – 60cm),"Low, Average",Low,"Clay, Loam","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Cut Flowers, Showy","United States, California, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Pacific Northwest, Idaho, Oregon, Washington, Rocky Mountains, Colorado, Utah, Wyoming, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, New Mexico, Oklahoma, Texas","Clay Soil, Deer, Drought, Dry Soil",Beds and Borders,"Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies","24"" (60cm)",1 – 7 What's My Zone?
"rudbeckia laciniata
",3 – 9 What's My Zone?,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Perennials,Rudbeckia,"Full Sun, Partial Sun","Summer (Mid,Late)Fall",3' – 9' (90cm – 270cm),2' – 4' (60cm – 120cm),"Average, High",Average,"Clay, Loam","Acid, Alkaline, Neutral",Moist but Well-Drained,"Cut Flowers, Showy","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Pacific Northwest, Idaho, Washington, Rocky Mountains, Colorado, Montana, Utah, Wyoming, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Arizona, New Mexico, Oklahoma, Texas","Deer, Wet Soil",Beds and Borders,"Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies","36"" – 48"" (90cm – 120cm)",1 – 9 What's My Zone?
"ruellia caroliniensis
",8 – 11 What's My Zone?,,Perennials,Ruellia,"Partial Sun, Shade","Summer (Early,Mid,Late)","6"" – 1' (15cm – 30cm)",1' – 2' (30cm – 60cm),"Low, Average",Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Midwest, Illinois, Indiana, Ohio, Northeast, Delaware, Maryland, New Jersey, Pennsylvania, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Drought, Dry Soil","Ground Covers, Hanging Baskets, Patio and Containers","Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies","18"" – 24"" (45cm – 60cm)",
"ruellia humilis
",4 – 8 What's My Zone?,,Perennials,Ruellia,"Full Sun, Partial Sun","Spring (Late)Summer (Early,Mid,Late)Fall",1' – 2' (30cm – 60cm),1' – 2' (30cm – 60cm),Low,Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, Ohio, Wisconsin, Northeast, Maryland, Pennsylvania, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Deer, Drought, Dry Soil, Rocky Soil",Beds and Borders,"Gravel and Rock Garden, Prairie and Meadow",,Butterflies,"18"" (45cm)",
"sabal minor
",7 – 10 What's My Zone?,"12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, H1, H2",Palms - Cycads,Palms - Cycads,"Full Sun, Partial Sun","Spring (Early,Mid,Late)Summer (Early,Mid,Late)FallWinter",4' – 6' (120cm – 180cm),4' – 6' (120cm – 180cm),Average,Average,"Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Moisture Retentive, Well-Drained","Showy, Evergreen","United States, Southeast, Alabama, Arkansas, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Southwest, Oklahoma, Texas","Deer, Drought, Salt","Beds and Borders, Patio and Containers, Rain Gardens",Mediterranean Garden,,,"72"" – 84"" (180cm  – 210cm)",10 – 12 What's My Zone?
"sabal palmetto
",8 – 11 What's My Zone?,"12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, H1, H2",Palms - Cycads,Palms - Cycads,Full Sun,"Spring (Early,Mid,Late)Summer (Early,Mid,Late)FallWinter",40' – 50' (12m – 15m),10' – 15' (3m – 4.5m),Average,Low,"Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Showy, Evergreen","United States, Southeast, Florida, Georgia, Louisiana, North Carolina, South Carolina","Drought, Salt",Rain Gardens,"Coastal Garden, Mediterranean Garden",,,,
"sagittaria latifolia
",5 – 11 What's My Zone?,,"Aquatic Plants, Perennials",,Full Sun,"Summer (Mid,Late)Fall",1' – 4' (30cm – 120cm),1' – 3' (30cm – 90cm),High,Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral",Poorly Drained,Showy,"United States, California, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Pacific Northwest, Idaho, Oregon, Washington, Rocky Mountains, Colorado, Montana, Utah, Wyoming, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Arizona, New Mexico, Oklahoma, Texas",Wet Soil,"Ponds and Streams, Water Gardens",,,Birds,"36"" (90cm)",5 – 12 What's My Zone?
"salix nigra
",4 – 9 What's My Zone?,,Trees,Salix - Willows,"Full Sun, Partial Sun","Spring (Mid,Late)Summer (Early,Mid,Late)Fall",30' – 60' (9m – 18m),30' – 60' (9m – 18m),"Average, High",Average,"Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Poorly Drained",Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas",Wet Soil,Ponds and Streams,Prairie and Meadow,,"Birds, Butterflies",,
"salvia azurea
",5 – 9 What's My Zone?,,Perennials,Salvia - Sages,Full Sun,"Summer (Mid,Late)Fall",3' – 5' (90cm – 150cm),2' – 4' (60cm – 120cm),"Low, Average",Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,"Fragrant, Showy","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Missouri, Nebraska, Ohio, Wisconsin, Northeast, Connecticut, New York, Rocky Mountains, Colorado, Utah, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Southwest, New Mexico, Oklahoma, Texas","Deer, Drought, Dry Soil, Rocky Soil",Beds and Borders,"Informal and Cottage, Prairie and Meadow",,"Butterflies, Hummingbirds","48"" (120cm)",
"salvia coccinea
",8 – 11 What's My Zone?,"12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, H1, H2","Annuals, Perennials",Salvia - Sages,"Full Sun, Partial Sun","Summer (Mid,Late)Fall",2' – 3' (60cm – 90cm),1' – 2' (30cm – 60cm),Average,Low,"Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Fragrant, Showy","United States, Midwest, Ohio, Southeast, Alabama, Florida, Georgia, Louisiana, Mississippi, South Carolina, Southwest, Texas","Deer, Drought, Dry Soil","Beds and Borders, Wall-Side Borders","City and Courtyard, Coastal Garden, Informal and Cottage",,"Birds, Butterflies, Hummingbirds","18"" (45cm)",
"salvia lyrata
",5 – 10 What's My Zone?,,Perennials,Salvia - Sages,"Full Sun, Partial Sun","Spring (Early,Mid,Late)Summer (Early)",1' – 2' (30cm – 60cm),"10"" – 1' (25cm – 30cm)","Low, Average",Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Fragrant, Showy","United States, Midwest, Illinois, Indiana, Kansas, Missouri, Ohio, Northeast, Connecticut, Delaware, Maryland, New Jersey, New York, Pennsylvania, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Clay Soil, Deer, Drought, Dry Soil, Rocky Soil, Wet Soil","Beds and Borders, Edging, Ground Covers","Gravel and Rock Garden, Informal and Cottage, Prairie and Meadow",,"Butterflies, Hummingbirds","12"" (30cm)",
"sanguinaria canadensis
",3 – 8 What's My Zone?,,Perennials,,"Partial Sun, Shade","Spring (Early,Mid)","6"" – 10"" (15cm – 25cm)","3"" – 6"" (7cm – 15cm)",Average,Low,"Clay, Loam","Acid, Alkaline, Neutral",Moist but Well-Drained,Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Drought, Rabbit",,"Gravel and Rock Garden, Informal and Cottage, Prairie and Meadow",,,"6"" (15cm)",1 – 9 What's My Zone?
"sarracenia flava
",6 – 10 What's My Zone?,,Perennials,Sarracenia - Pitcher Plants,Full Sun,"Spring (Mid,Late)Summer (Early,Mid,Late)",1' – 3' (30cm – 90cm),1' – 3' (30cm – 90cm),"Average, High",High,"Loam, Sand","Acid, Neutral","Moist but Well-Drained, Poorly Drained","Fragrant, Showy, Semi-Evergreen","United States, Northeast, New Jersey, Southeast, Alabama, Florida, Georgia, North Carolina, South Carolina, Virginia",Wet Soil,"Bog Gardens, Ponds and Streams, Rain Gardens",Prairie and Meadow,,,"30"" – 36"" (75cm – 90cm)",7 – 10 What's My Zone?
"sarracenia leucophylla
",6 – 8 What's My Zone?,,Perennials,Sarracenia - Pitcher Plants,Full Sun,"Spring (Mid,Late)Summer (Early,Mid,Late)",1' – 3' (30cm – 90cm),1' – 3' (30cm – 90cm),"Average, High",High,"Loam, Sand","Acid, Neutral","Moist but Well-Drained, Poorly Drained","Fragrant, Showy, Semi-Evergreen","United States, Southeast, Alabama, Florida, Georgia, Mississippi, North Carolina",Wet Soil,"Bog Gardens, Ponds and Streams, Rain Gardens",Prairie and Meadow,,,"30"" – 36"" (75cm – 90cm)",
"sarracenia psittacina
",7 – 8 What's My Zone?,,Perennials,Sarracenia - Pitcher Plants,"Full Sun, Partial Sun","Spring (Mid,Late)Summer (Early,Mid,Late)","4"" – 6"" (10cm – 15cm)","4"" – 6"" (10cm – 15cm)","Average, High",High,Loam,Acid,"Moist but Well-Drained, Poorly Drained","Showy, Semi-Evergreen","United States, Southeast, Alabama, Florida, Georgia, Louisiana, Mississippi",Wet Soil,"Bog Gardens, Patio and Containers, Ponds and Streams, Rain Gardens",,,,"10"" (25cm)",
"sarracenia purpurea
",3 – 9 What's My Zone?,,Perennials,Sarracenia - Pitcher Plants,"Full Sun, Partial Sun","Spring (Early,Mid,Late)Summer (Early,Mid,Late)FallWinter","10"" – 1' (25cm – 30cm)",1' – 2' (30cm – 60cm),"Average, High",High,Loam,Acid,"Moist but Well-Drained, Poorly Drained","Showy, Evergreen","United States, California, Midwest, Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia",Wet Soil,"Bog Gardens, Patio and Containers, Ponds and Streams, Rain Gardens",,,,"12"" – 16"" (30cm – 40cm)",1 – 9 What's My Zone?
"sarracenia rubra
",6 – 8 What's My Zone?,,Perennials,Sarracenia - Pitcher Plants,Full Sun,"Spring (Mid,Late)Summer (Early,Mid,Late)",1' – 2' (30cm – 60cm),1' – 2' (30cm – 60cm),"Average, High",High,Loam,Acid,"Moist but Well-Drained, Poorly Drained","Fragrant, Showy, Semi-Evergreen","United States, Southeast, Alabama, Florida, Mississippi",Wet Soil,"Bog Gardens, Ponds and Streams, Rain Gardens",Prairie and Meadow,,,"12"" – 18"" (30cm – 45cm)",
"sassafras albidum
",4 – 9 What's My Zone?,,Trees,,"Full Sun, Partial Sun","Spring (Early,Mid,Late)Summer (Early,Mid,Late)FallWinter",30' – 60' (9m – 18m),25' – 40' (7.5m – 12m),"Low, Average",Average,"Clay, Loam","Acid, Neutral","Moist but Well-Drained, Well-Drained","Fragrant, Showy, Fruit & Berries","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Missouri, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Clay Soil, Drought, Dry Soil",,Informal and Cottage,,"Birds, Butterflies",,3 – 8 What's My Zone?
"saururus cernuus
",3 – 10 What's My Zone?,,"Aquatic Plants, Perennials",,"Full Sun, Partial Sun","Spring (Mid,Late)Summer (Early,Mid,Late)",1' – 2' (30cm – 60cm),1' – 2' (30cm – 60cm),High,Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral",Poorly Drained,"Fragrant, Showy","United States, Midwest, Illinois, Indiana, Kansas, Michigan, Missouri, Ohio, Northeast, Connecticut, Delaware, Massachusetts, Maryland, New Jersey, New York, Pennsylvania, Rhode Island, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Texas","Deer, Wet Soil","Bog Gardens, Ground Covers, Patio and Containers, Ponds and Streams, Water Gardens","Informal and Cottage, Prairie and Meadow",,Birds,"24"" (60cm)",5 – 10 What's My Zone?
"schizachyrium scoparium
",3 – 9 What's My Zone?,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Ornamental Grasses,,Full Sun,"Spring (Early,Mid,Late)Summer (Early,Mid,Late)FallWinter",2' – 4' (60cm – 120cm),1' – 2' (30cm – 60cm),"Low, Average",Low,"Chalk, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,Showy,"United States, California, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Pacific Northwest, Idaho, Washington, Rocky Mountains, Colorado, Montana, Utah, Wyoming, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Arizona, New Mexico, Oklahoma, Texas","Deer, Drought, Dry Soil, Rocky Soil","Banks and Slopes, Beds and Borders","City and Courtyard, Gravel and Rock Garden, Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies","18"" – 24"" (45cm – 60cm)",
"schoenoplectus tabernaemontani
",4 – 9 What's My Zone?,"5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","Ornamental Grasses, Perennials",,Full Sun,"Spring (Early,Mid,Late)Summer (Early,Mid,Late)FallWinter",4' – 8' (120cm – 240cm),3' – 6' (90cm – 180cm),High,Low,"Clay, Loam","Acid, Alkaline, Neutral",Poorly Drained,Showy,"United States, Alaska, California, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Pacific Northwest, Idaho, Oregon, Washington, Rocky Mountains, Colorado, Montana, Utah, Wyoming, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Nevada, Arizona, New Mexico, Oklahoma, Texas",Wet Soil,"Beds and Borders, Ponds and Streams","Informal and Cottage, Prairie and Meadow",,Birds,"48"" – 72"" (120cm – 180cm)",6 – 9 What's My Zone?
