,Hardiness,Climate Zones,Plant Type,Plant Family,Exposure,Season of Interest,Height,Spread,Water Needs,Maintenance,Soil Type,Soil pH,Soil Drainage,Characteristics,Native Plants,Tolerance,Garden Uses,Garden Styles,Depth,Attracts,Spacing,Heat Zones
Solidago sempervirens,3 to 10,,Perennials,Solidago - Goldenrods,Full Sun,Summer (Late)-Fall,2' to 8' (60cm to 240cm),2' to 3' (60cm to 90cm),"Low, Average",Low,"Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained","Showy, Evergreen","United States, Midwest, Illinois, Indiana, Ohio, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Southeast, Alabama, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Virginia, Southwest, Texas","Deer, Drought, Salt",,Coastal Garden,,"Birds, Butterflies","24"" to 36"" (60cm to 90cm)",
Solidago speciosa,3 to 8,,Perennials,Solidago - Goldenrods,Full Sun,Summer (Late)-Fall,3' to 5' (90cm to 150cm),3' to 4' (90cm to 120cm),"Low, Average",Average,"Clay, Loam, Sand","Acid, Neutral",Well-Drained,Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Rocky Mountains, Colorado, Wyoming, Southeast, Alabama, Arkansas, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, New Mexico, Oklahoma, Texas","Clay Soil, Deer, Drought, Dry Soil, Rocky Soil",Beds and Borders,"Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies","36"" to 48"" (90cm to 120cm)",
Sorghastrum nutans,4 to 9,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Ornamental Grasses,,Full Sun,"Spring (Early,Mid,Late)-Summer (Early,Mid,Late)-FallWinter",3' to 5' (90cm to 150cm),1' to 2' (30cm to 60cm),Low,Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,"Dried Arrangements, Cut Flowers, Showy","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Rocky Mountains, Colorado, Utah, Wyoming, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Arizona, New Mexico, Oklahoma, Texas","Drought, Dry Soil, Rocky Soil",Banks and Slopes,"Informal and Cottage, Prairie and Meadow",,Birds,"18"" to 24"" (45cm to 60cm)",
Sparganium americanum,3 to 9,,"Aquatic Plants, Ornamental Grasses, Perennials",,"Full Sun, Partial Sun","Spring (Mid,Late)-Summer (Early,Mid,Late)-Fall",2' to 3' (60cm to 90cm),,"Average, High",Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral","Moisture Retentive, Poorly Drained",Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Deer, Wet Soil","Bog Gardens, Ponds and Streams, Water Gardens","Informal and Cottage, Prairie and Meadow",,Birds,,
Spartina alterniflora,5 to 11,,"Ornamental Grasses, Perennials",,Full Sun,"Spring (Mid,Late)-Summer (Early,Mid,Late)-Fall",3' to 5' (90cm to 150cm),,High,Low,"Clay, Loam, Sand","Alkaline, Neutral",Poorly Drained,Showy,"United States, California, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Rhode Island, Pacific Northwest, Washington, Alabama, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Virginia, Southwest, Texas","Salt, Wet Soil","Bog Gardens, Ponds and Streams","Coastal Garden, Prairie and Meadow",,Birds,,
Spartina patens,4 to 11,,"Ornamental Grasses, Perennials",,Full Sun,"Spring (Mid,Late)-Summer (Early,Mid,Late)-Fall",2' to 3' (60cm to 90cm),,High,Low,Sand,"Acid, Alkaline, Neutral",Poorly Drained,Showy,"United States, California, Michigan, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Pacific Northwest, Oregon, Washington, Alabama, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Virginia, Southwest, Texas","Salt, Wet Soil","Bog Gardens, Ground Covers, Ponds and Streams","Coastal Garden, Prairie and Meadow",,Birds,,
Spigelia marilandica,5 to 9,,Perennials,,"Partial Sun, Shade",Summer (Early)-,1' to 2' (30cm to 60cm),"6"" to 2' (15cm to 60cm)",Average,Low,"Chalk, Clay, Sand","Alkaline, Neutral",Moist but Well-Drained,Showy,"United States, Midwest, Illinois, Indiana, Missouri, Northeast, Maryland, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, Southwest, Oklahoma, Texas","Drought, Dry Soil",Beds and Borders,"City and Courtyard, Coastal Garden, Informal and Cottage",,Hummingbirds,"6"" to 18"" (15cm to 45cm)",
Spiranthes cernua,5 to 9,,"Orchids, Perennials",,"Full Sun, Partial Sun",Summer (Late)-Fall,"9"" to 2' (22cm to 60cm)","10"" to 1' (25cm to 30cm)",High,Low,"Clay, Loam, Sand","Acid, Neutral","Moisture Retentive, Poorly Drained","Fragrant, Showy, Evergreen","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, New Mexico, Oklahoma",Wet Soil,"Bog Gardens, Ponds and Streams",Prairie and Meadow,,,"12"" (30cm)",
Spirodela polyrrhiza,9 to 11,,"Aquatic Plants, Perennials",,"Full Sun, Partial Sun","Spring (Mid,Late)-Summer (Early,Mid,Late)-Fall","2"" to 3"" (5cm to 7cm)",,High,Average,,,,Showy,United States,Wet Soil,"Ponds and Streams, Water Gardens",,,Birds,,
Sporobolus virginicus,8 to 11,,Ornamental Grasses,,Full Sun,"Summer (Early,Mid,Late)-FallWinter",1' to 2' (30cm to 60cm),,Average,Low,Sand,"Acid, Alkaline, Neutral",Moist but Well-Drained,Showy,"Australia, United States, Northeast, Maryland, Southeast, Alabama, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Virginia, Southwest, Texas","Drought, Salt, Wet Soil",Ground Covers,Coastal Garden,,"Birds, Butterflies",,
Stachytarpheta jamaicensis,8 to 11,,"Perennials, Shrubs",,"Full Sun, Partial Sun","Spring (Early,Mid,Late)-Summer (Early,Mid,Late)-FallWinter",1' to 3' (30cm to 90cm),2' to 3' (60cm to 90cm),"Low, Average",Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Southeast, Alabama, Florida","Drought, Salt","Beds and Borders, Hedges and Screens","Informal and Cottage, Prairie and Meadow",,"Butterflies, Hummingbirds","36"" to 48"" (90cm to 120cm)",
Staphylea trifolia,3 to 8,,"Shrubs, Trees",,"Partial Sun, Shade","Spring (Mid,Late)-Summer (Late)-Fall",10' to 15' (3m to 4.5m),10' to 20' (3m to 6m),"Low, Average",Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Vermont, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma","Clay Soil, Drought, Dry Soil, Rocky Soil, Wet Soil",,"Informal and Cottage, Prairie and Meadow",,Butterflies,,
Stewartia malacodendron,7 to 9,,"Shrubs, Trees",,"Partial Sun, Shade","Spring (Mid,Late)-Summer (Early)-Fall",12' to 18' (3.6m to 5.4m),15' to 25' (4.5m to 7.5m),Average,Low,"Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained","Plant of Merit, Showy","United States, Southeast, Alabama, Arkansas, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Virginia, Southwest, Texas",,,"City and Courtyard, Informal and Cottage, Prairie and Meadow",,,,6 to 9
Stewartia ovata,5 to 9,,"Shrubs, Trees",,"Full Sun, Partial Sun",Summer (Mid)-Fall,10' to 15' (3m to 4.5m),10' to 15' (3m to 4.5m),Average,Low,"Loam, Sand","Acid, Neutral",Moist but Well-Drained,Showy,"United States, Southeast, Alabama, Florida, Georgia, Kentucky, Mississippi, North Carolina, South Carolina, Tennessee, Virginia",,Beds and Borders,"Informal and Cottage, Prairie and Meadow",,,"120"" to 180"" (300cm to 450cm)",
Stokesia laevis,5 to 9,"2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Perennials,,Full Sun,"Spring (Late)-Summer (Early,Mid,Late)-Fall",1' to 2' (30cm to 60cm),1' to 2' (30cm to 60cm),Average,Low,"Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained","Cut Flowers, Showy, Semi-Evergreen","United States, Southeast, Alabama, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina","Drought, Rabbit","Beds and Borders, Ground Covers, Ponds and Streams, Rain Gardens",Informal and Cottage,,Butterflies,"18"" to 24"" (45cm to 60cm)",5 to 9
Symphoricarpos orbiculatus,2 to 7,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, 21",Shrubs,Symphoricarpos - Snowberries,"Full Sun, Partial Sun, Shade","Spring (Mid,Late)-Summer (Early,Mid,Late)-FallWinter",2' to 5' (60cm to 150cm),4' to 8' (120cm to 240cm),Average,Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Poorly Drained, Well-Drained","Dried Arrangements, Cut Flowers, Showy, Fruit & Berries","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Massachusetts, Maryland, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Utah, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Clay Soil, Deer, Drought, Dry Soil","Banks and Slopes, Ground Covers, Hedges and Screens","Informal and Cottage, Traditional Garden",,Birds,"72"" to 96"" (180cm to 240cm)",1 to 7
Symphyotrichum cordifolium,3 to 8,,Perennials,Aster,"Full Sun, Partial Sun",Summer (Late)-Fall,2' to 5' (60cm to 150cm),1' to 2' (30cm to 60cm),"Low, Average",Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Cut Flowers, Showy","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Georgia, Kentucky, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia","Deer, Rabbit",Beds and Borders,"Informal and Cottage, Traditional Garden",,Butterflies,"24"" (60cm)",1 to 8
Symphyotrichum laeve,3 to 8,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 14, 15, 16, 17, 18, 19, 20, 21",Perennials,Aster,Full Sun,Summer (Late)-Fall,2' to 4' (60cm to 120cm),1' to 2' (30cm to 60cm),"Low, Average",Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Pacific Northwest, Idaho, Oregon, Washington, Rocky Mountains, Colorado, Montana, Utah, Wyoming, Southeast, Alabama, Arkansas, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Nevada, Arizona, New Mexico, Oklahoma, Texas","Drought, Dry Soil, Rocky Soil",Beds and Borders,"Informal and Cottage, Traditional Garden",,Butterflies,"24"" (60cm)",1 to 8
Symphyotrichum lanceolatum,3 to 9,,Perennials,Aster,"Full Sun, Partial Sun","Summer (Mid,Late)-Fall",2' to 5' (60cm to 150cm),,Average,Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,Showy,"United States, California, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Pacific Northwest, Idaho, Oregon, Washington, Rocky Mountains, Colorado, Montana, Utah, Wyoming, Southeast, Alabama, Arkansas, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Nevada, Arizona, New Mexico, Oklahoma, Texas",,,"Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies","18"" to 36"" (45cm to 90cm)",
Symphyotrichum pilosum,4 to 8,,Perennials,Aster,"Full Sun, Partial Sun",Summer (Late)-Fall,2' to 4' (60cm to 120cm),2' to 4' (60cm to 120cm),"Low, Average",Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Dry Soil, Rocky Soil",Beds and Borders,"Informal and Cottage, Prairie and Meadow",,Butterflies,"36"" to 48"" (90cm to 120cm)",
Taenidia integerrima,4 to 8,,Perennials,,Partial Sun,"Spring (Late)-Summer (Early,Mid)-",2' to 3' (60cm to 90cm),1' to 3' (30cm to 90cm),Low,Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maryland, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas",Drought,,"Informal and Cottage, Prairie and Meadow",,Butterflies,"18"" to 30"" (45cm to 75cm)",
Taxodium ascendens,5 to 10,,"Conifers, Trees",Taxodium - Cypresses,"Full Sun, Partial Sun",Fall,50' to 60' (15m to 18m),10' to 15' (3m to 4.5m),"Average, High",Low,"Clay, Loam","Acid, Neutral","Moist but Well-Drained, Poorly Drained","Showy, Fruit & Berries","United States, Northeast, Delaware, Southeast, Alabama, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Virginia","Clay Soil, Wet Soil","Bog Gardens, Ponds and Streams, Rain Gardens",Prairie and Meadow,,Birds,,
Thalictrum dioicum,4 to 7,,Perennials,Thalictrum - Meadow Rues,"Full Sun, Partial Sun","Spring (Mid,Late)-Summer (Early,Mid,Late)-Fall",1' to 2' (30cm to 60cm),1' to 2' (30cm to 60cm),Average,Average,"Chalk, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Cut Flowers, Showy","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Georgia, Kentucky, North Carolina, South Carolina, Tennessee, Virginia, West Virginia",Deer,Beds and Borders,"Informal and Cottage, Prairie and Meadow",,,"24"" (60cm)",
Thalictrum thalictroides,4 to 8,,Perennials,Thalictrum - Meadow Rues,"Partial Sun, Shade","Spring (Mid,Late)-","6"" to 10"" (15cm to 25cm)","6"" to 10"" (15cm to 25cm)",Average,Average,"Chalk, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma","Drought, Dry Soil",,"Gravel and Rock Garden, Prairie and Meadow",,,"10"" to 12"" (25cm to 30cm)",
Thelypteris noveboracensis,3 to 8,,Ferns,"Dryopteris - Ferns, Polypodium - Ferns","Partial Sun, Shade","Spring (Mid,Late)-Summer (Early,Mid,Late)-Fall","8"" to 2' (20cm to 60cm)",1' to 3' (30cm to 90cm),Average,Low,"Chalk, Clay, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Midwest, Illinois, Indiana, Michigan, Ohio, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma","Deer, Wet Soil","Beds and Borders, Patio and Containers",Informal and Cottage,,,"24"" to 36"" (60cm  to 90cm)",
Thelypteris palustris,5 to 10,,Ferns,,"Full Sun, Partial Sun","Spring (Mid,Late)-Summer (Early,Mid,Late)-Fall","6"" to 2' (15cm to 60cm)",1' to 2' (30cm to 60cm),"Average, High",Low,"Clay, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Moisture Retentive",Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Deer, Wet Soil","Beds and Borders, Bog Gardens, Ponds and Streams, Rain Gardens",Informal and Cottage,,Birds,"15"" (37cm)",5 to 8
Thermopsis villosa,4 to 8,,Perennials,,Full Sun,Spring (Late)-Summer (Early)-,3' to 5' (90cm to 150cm),2' to 3' (60cm to 90cm),Average,Low,"Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained","Cut Flowers, Plant of Merit, Showy","United States, Northeast, Connecticut, Maine, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Vermont, Southeast, Alabama, Georgia, North Carolina, Tennessee, Virginia, West Virginia","Drought, Dry Soil",Beds and Borders,"Informal and Cottage, Prairie and Meadow",,Birds,"24"" to 36"" (60cm to 90cm)",1 to 9
Tiarella cordifolia,3 to 8,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, A3",Perennials,Tiarella - Foam Flowers,"Partial Sun, Shade",Spring (Late)-Summer (Early)-Fall,"10"" to 1' (25cm to 30cm)",1' to 2' (30cm to 60cm),Average,Low,"Chalk, Clay, Loam","Acid, Alkaline, Neutral","Moist but Well-Drained, Poorly Drained","Plant of Merit, Showy, Semi-Evergreen","United States, Midwest, Michigan, Minnesota, Ohio, Wisconsin, Northeast, Connecticut, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Georgia, Kentucky, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia","Deer, Rabbit","Beds and Borders, Ground Covers, Underplanting Roses and Shrubs",Informal and Cottage,,,"18"" to 24"" (45cm to 60cm)",1 to 7
Tilia americana,2 to 8,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",Trees,Tilia - Lindens,"Full Sun, Partial Sun","Spring (Mid,Late)-Summer (Early,Mid,Late)-Fall",50' to 80' (15m to 24m),30' to 50' (9m to 15m),"Low, Average",Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Fragrant, Showy","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Clay Soil, Drought, Dry Soil",,Prairie and Meadow,,"Birds, Butterflies",,1 to 8
Tradescantia ohiensis,4 to 9,,Perennials,Tradescantia - Spiderworts,"Full Sun, Partial Sun","Spring (Late)-Summer (Early,Mid)-",2' to 3' (60cm to 90cm),1' to 3' (30cm to 90cm),"Low, Average",Low,"Clay, Loam, Sand","Acid, Neutral",Well-Drained,Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas",,Beds and Borders,Prairie and Meadow,,Butterflies,"18"" to 30"" (45cm to 75cm)",
Triadenum virginicum,6 to 10,,Perennials,,Partial Sun,"Summer (Mid,Late)-",1' to 2' (30cm to 60cm),"6"" to 10"" (15cm to 25cm)","Average, High",Low,"Loam, Sand","Acid, Neutral","Moist but Well-Drained, Moisture Retentive, Poorly Drained",Showy,"United States, Midwest, Illinois, Indiana, Michigan, Ohio, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, Southwest, Texas",Wet Soil,"Bog Gardens, Ponds and Streams","Informal and Cottage, Prairie and Meadow",,Butterflies,"12"" (30cm)",
Trillium cuneatum,5 to 8,,Perennials,Trillium - Wake Robins,"Partial Sun, Shade","Spring (Mid,Late)-",1' to 2' (30cm to 60cm),"9"" to 1' (22cm to 30cm)",Average,Low,"Chalk, Loam, Sand","Acid, Neutral",Moist but Well-Drained,"Fragrant, Showy","United States, Midwest, Illinois, Southeast, Alabama, Georgia, Kentucky, Mississippi, North Carolina, South Carolina, Tennessee",,"Beds and Borders, Underplanting Roses and Shrubs","Gravel and Rock Garden, Informal and Cottage",,,"9"" to 12"" (22cm to 30cm)",
Trillium erectum,4 to 7,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6",Perennials,Trillium - Wake Robins,"Partial Sun, Shade","Spring (Mid,Late)-Summer (Early)-",1' to 2' (30cm to 60cm),1' (30cm),Average,Low,"Chalk, Loam, Sand","Acid, Neutral",Moist but Well-Drained,"Fragrant, Plant of Merit, Showy","United States, Midwest, Illinois, Indiana, Michigan, Ohio, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Georgia, Kentucky, North Carolina, South Carolina, Tennessee, Virginia, West Virginia",,"Beds and Borders, Underplanting Roses and Shrubs",Informal and Cottage,,,"12"" (30cm)",3 to 7
Trillium flexipes,4 to 7,,Perennials,Trillium - Wake Robins,"Partial Sun, Shade","Spring (Mid,Late)-",1' to 2' (30cm to 60cm),1' to 2' (30cm to 60cm),Average,Low,"Chalk, Loam, Sand","Acid, Neutral",Moist but Well-Drained,Showy,"United States, Midwest, Illinois, Indiana, Iowa, Michigan, Minnesota, Missouri, Ohio, South Dakota, Wisconsin, Northeast, Delaware, Maryland, New York, Pennsylvania, Southeast, Alabama, Arkansas, Georgia, Kentucky, Mississippi, North Carolina, Tennessee, Virginia, West Virginia",,"Beds and Borders, Ground Covers, Underplanting Roses and Shrubs",Informal and Cottage,,,"12"" to 18"" (30cm to 45cm)",
Trillium grandiflorum,4 to 8,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6",Perennials,Trillium - Wake Robins,"Partial Sun, Shade","Spring (Mid,Late)-Summer (Early)-",1' to 2' (30cm to 60cm),1' (30cm),Average,Low,"Chalk, Loam, Sand","Acid, Neutral",Moist but Well-Drained,"Plant of Merit, Showy","United States, Midwest, Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Vermont, Southeast, Alabama, Georgia, Kentucky, North Carolina, South Carolina, Tennessee, Virginia, West Virginia",,"Beds and Borders, Underplanting Roses and Shrubs",Informal and Cottage,,,"12"" (30cm)",3 to 7
Trillium recurvatum,4 to 9,,Perennials,Trillium - Wake Robins,"Partial Sun, Shade","Spring (Mid,Late)-",1' to 2' (30cm to 60cm),1' (30cm),Average,Low,"Chalk, Loam, Sand","Acid, Neutral",Moist but Well-Drained,Showy,"United States, Midwest, Illinois, Indiana, Iowa, Missouri, Ohio, Wisconsin, Northeast, Pennsylvania, Southeast, Alabama, Arkansas, Kentucky, Louisiana, Mississippi, North Carolina, Tennessee, Southwest, Oklahoma, Texas",,,"Informal and Cottage, Prairie and Meadow",,,"12"" (30cm)",
