,Active Growth Period,After Harvest Regrowth Rate,Bloat,C:N Ratio,Coppice Potential,Fall Conspicuous,Fire Resistant,Flower Color,Flower Conspicuous,Foliage Color,Foliage Porosity Summer,Foliage Porosity Winter,Foliage Texture,Fruit/Seed Color,Fruit/Seed Conspicuous,Growth Form,Growth Rate,"Height, Mature (feet)",Known Allelopath,Leaf Retention,Low Growing Grass,Nitrogen Fixation,Resprout Ability,Shape and Orientation,Toxicity,Adapted to Coarse Textured Soils,Adapted to Fine Textured Soils,Adapted to Medium Textured Soils,Anaerobic Tolerance,CaCO3 Tolerance,Cold Stratification Required,Drought Tolerance,Fertility Requirement,Fire Tolerance,"Frost Free Days, Minimum",Hedge Tolerance,Moisture Use,"pH, Maximum","pH, Minimum","Planting Density per Acre, Maximum","Planting Density per Acre, Minimum","Precipitation, Maximum","Precipitation, Minimum","Root Depth, Minimum (inches)",Salinity Tolerance,Shade Tolerance,"Temperature, Minimum (°F)",Bloom Period,Commercial Availability,Fruit/Seed Abundance,Fruit/Seed Period Begin,Fruit/Seed Period End,Fruit/Seed Persistence,Propagated by Bare Root,Propagated by Bulb,Propagated by Container,Propagated by Corm,Propagated by Cuttings,Propagated by Seed,Propagated by Sod,Propagated by Sprigs,Propagated by Tubers,Seed per Pound,Seed Spread Rate,Seedling Vigor,Small Grain,Vegetative Spread Rate,Berry/Nut/Seed Product,Christmas Tree Product,Fodder Product,Lumber Product,Naval Store Product,Nursery Stock Product,Palatable Browse Animal,Palatable Graze Animal,Palatable Human,Post Product,Protein Potential,Pulpwood Product,Veneer Product,"Height at 20 Years, Maximum (feet)",Lifespan,Fuelwood Product
PIVI2,Spring and Summer,,None,High,No,No,No,,No,Green,Dense,Dense,Coarse,Brown,No,Single Stem,Rapid,70.0,No,Yes,No,None,No,Irregular,None,Yes,Yes,Yes,Low,Low,Yes,High,Low,Medium,165,Low,Low,7.5,4.5,800,430,65,32,20,None,Intolerant,-23,Mid Spring,Routinely Available,High,Summer,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,52160,Rapid,High,No,None,No,Yes,No,Yes,Yes,Yes,Low,Low,No,Yes,Low,Yes,Yes,25,Moderate,Medium
PIGR4,Spring and Summer,Slow,None,Medium,No,No,No,White,Yes,Green,Porous,Porous,Medium,Brown,No,Rhizomatous,Slow,2.8,No,No,No,None,No,Semi-Erect,None,No,Yes,Yes,None,Medium,No,High,Low,High,240,None,Medium,7.0,5.8,4800,2700,55,32,10,None,Intermediate,-3,Late Spring,No Known Source,Medium,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,375000,Slow,Medium,No,Slow,No,No,No,No,No,No,Low,Low,No,No,Low,No,No,,Moderate,
PLAQ,Spring and Summer,,None,,No,No,No,Green,No,Green,Moderate,Porous,Coarse,Black,No,Single Stem,Slow,50.0,No,No,No,None,Yes,Erect,None,No,Yes,Yes,High,Medium,No,Low,Medium,Low,180,None,Medium,8.5,5.0,800,300,55,35,18,None,Tolerant,-3,Early Spring,Routinely Available,Low,Spring,Spring,No,Yes,No,Yes,No,No,Yes,No,No,No,,Moderate,Medium,No,None,No,No,No,No,No,No,Low,,No,No,,No,No,40,Long,Low
PLOC,Spring and Summer,,None,High,Yes,Yes,No,Red,No,Green,Dense,Porous,Coarse,Brown,Yes,Single Stem,Rapid,100.0,No,No,No,None,Yes,Erect,None,Yes,No,Yes,Medium,None,No,Low,Medium,Medium,100,None,High,6.5,4.9,800,300,80,30,30,None,Intermediate,-34,Spring,Routinely Available,Medium,Summer,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,192000,Moderate,Medium,No,Slow,No,No,No,Yes,No,Yes,Low,,No,No,,No,No,65,Long,Low
POHY2,Summer,,None,,No,No,No,Green,No,Dark Green,Porous,Porous,Fine,Green,No,Single Crown,Slow,,No,No,No,None,No,Decumbent,None,No,Yes,Yes,High,High,No,Low,Medium,Medium,95,None,Medium,8.8,4.5,,,50,12,10,Low,Intolerant,32,Indeterminate,Routinely Available,Medium,Spring,Summer,No,No,No,No,No,No,Yes,No,No,No,612963,Moderate,Medium,No,None,No,No,No,No,No,No,Low,,No,No,,No,No,,Moderate,
POPE2,Summer,Slow,None,Medium,No,No,No,Red,Yes,Green,Moderate,Porous,Medium,Black,No,Single Crown,Moderate,3.9,No,No,No,None,No,Erect,None,Yes,Yes,Yes,Medium,Medium,No,Medium,Medium,High,95,None,Medium,8.5,4.0,,,60,12,14,Low,Intolerant,32,Spring,Routinely Available,Medium,Spring,Fall,No,No,No,No,No,No,Yes,No,No,No,126111,Rapid,Medium,No,None,No,No,No,No,No,No,,Low,No,No,,No,No,,,
POSA5,Summer,,None,,No,No,Yes,Red,No,Green,Porous,Porous,Medium,Black,No,Single Crown,Rapid,1.0,No,No,No,None,No,Prostrate,None,Yes,Yes,Yes,Low,Medium,No,Low,Medium,Low,110,None,Medium,8.5,4.0,,,60,40,6,Medium,Intolerant,-13,Late Spring,Routinely Available,Medium,Spring,Fall,No,No,No,No,No,No,Yes,No,No,No,125000,Moderate,Medium,No,None,No,No,No,No,No,No,,Low,No,No,,No,No,,Moderate,
POCO14,Spring,Slow,None,,No,No,No,Blue,Yes,Green,Moderate,Porous,Coarse,,No,Bunch,Moderate,3.2,No,No,No,None,No,Erect,None,Yes,Yes,Yes,High,Medium,No,None,Medium,,110,None,High,8.7,4.9,3700,2728,60,40,10,Low,Intolerant,-23,Late Spring,Routinely Available,Medium,Summer,Fall,Yes,No,No,No,No,No,Yes,No,Yes,No,5000,Rapid,Medium,No,None,No,No,No,No,No,No,,Medium,No,No,,No,No,,Moderate,
POHE4,Spring and Summer,,None,High,No,No,No,White,No,Green,Moderate,Porous,Coarse,White,No,Single Stem,Moderate,100.0,No,No,No,None,Yes,Erect,None,No,Yes,Yes,High,Low,No,Low,Medium,Medium,180,None,High,5.9,4.6,1200,300,60,35,24,None,Intolerant,-23,Mid Spring,No Known Source,High,Spring,Summer,No,Yes,No,Yes,No,No,Yes,No,No,No,152000,Slow,High,No,None,No,No,No,No,No,No,,,No,No,,Yes,Yes,50,Short,Low
POAM5,Summer and Fall,,None,Medium,No,No,No,Green,No,Green,Porous,Porous,Fine,Orange,No,Rhizomatous,Rapid,,No,No,No,None,No,Prostrate,None,No,No,No,High,Low,No,None,Medium,,120,None,High,7.0,5.5,4800,1700,55,12,0,None,Intolerant,-33,Mid Summer,Routinely Available,Medium,Summer,Fall,No,Yes,No,No,No,No,Yes,No,Yes,No,,Slow,Medium,No,Rapid,No,No,No,No,No,No,,,No,No,,No,No,,Short,
PODI,Spring,,None,,No,No,No,Red,No,Green,Moderate,Porous,Medium,Black,No,Bunch,Rapid,3.2,No,No,No,None,No,Erect,None,Yes,Yes,Yes,High,Medium,No,None,Medium,,120,None,High,7.7,5.0,4800,3450,60,12,0,None,Intolerant,-38,Late Spring,No Known Source,Medium,Spring,Fall,No,Yes,No,No,No,No,Yes,No,Yes,No,,Rapid,Medium,No,None,No,No,No,No,No,No,,,No,No,,No,No,,Moderate,
POEP2,Summer and Fall,,None,Medium,No,No,No,Green,No,Green,Porous,Porous,Fine,Brown,No,Single Crown,Rapid,,No,No,No,None,No,Prostrate,None,No,No,No,High,Low,No,None,Medium,,100,None,High,7.0,5.4,4800,1700,55,14,0,None,Intolerant,-33,Mid Summer,No Known Source,Medium,Summer,Fall,No,Yes,No,No,No,No,Yes,No,Yes,No,,Moderate,Medium,No,Slow,No,No,No,No,No,No,,,No,No,,No,No,,Short,
PONO2,Summer,,None,Medium,No,No,No,Green,No,Green,Porous,Porous,Fine,Brown,No,Rhizomatous,Rapid,,No,No,No,None,No,Prostrate,None,No,No,No,High,Low,No,None,Medium,High,90,None,High,7.0,5.8,4800,1700,55,12,0,None,Intolerant,-38,Mid Summer,Routinely Available,Low,Summer,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,,Slow,Low,No,Rapid,No,No,No,No,No,No,,,No,No,,No,No,,Short,
PORO2,Summer,,None,Medium,No,No,No,Green,No,Green,Porous,Porous,Fine,Green,No,Single Crown,Rapid,,No,No,No,None,No,Prostrate,None,No,No,No,High,Low,No,None,Medium,High,90,None,High,7.0,5.8,4800,1700,55,16,0,None,Intolerant,-38,Late Summer,Routinely Available,Low,Summer,Fall,No,Yes,No,No,No,No,Yes,No,Yes,No,,Slow,Low,No,Moderate,No,No,No,No,No,No,,,No,No,,No,No,,Short,
PRAM,Spring and Summer,,None,Medium,No,No,No,White,Yes,Green,Dense,Moderate,Medium,Red,Yes,Single Stem,Moderate,24.0,No,No,No,None,Yes,Erect,Slight,Yes,No,Yes,Medium,High,Yes,None,Medium,Medium,100,Low,Medium,7.0,5.0,1200,700,40,16,24,Low,Intolerant,-38,Mid Spring,Routinely Available,Medium,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,870,Slow,High,No,None,Yes,No,No,No,No,Yes,Medium,Low,Yes,No,Low,No,No,24,Long,
PRSE2,Spring and Summer,,Low,High,Yes,No,No,White,Yes,Green,Moderate,Porous,Medium,Black,Yes,Multiple Stem,Rapid,80.0,No,No,No,None,Yes,Erect,Severe,Yes,No,Yes,None,High,Yes,Medium,Medium,Low,120,None,Medium,7.5,4.0,800,300,50,21,36,Medium,Intolerant,-33,Late Spring,Routinely Available,High,Summer,Summer,No,Yes,No,Yes,No,No,Yes,No,No,No,4800,Rapid,High,No,None,No,No,No,Yes,Yes,Yes,Low,Low,Yes,No,Low,No,Yes,40,Moderate,High
PTTR,Spring and Summer,,None,High,No,Yes,No,Yellow,No,Green,Moderate,Porous,Medium,Red,No,Single Stem,Slow,25.0,No,Yes,No,None,Yes,Erect,None,Yes,No,Yes,Low,Medium,Yes,Low,Low,Low,165,None,High,7.0,4.8,700,300,50,30,30,Medium,Intermediate,-33,Early Summer,No Known Source,High,Summer,Summer,No,Yes,No,Yes,No,No,Yes,No,No,No,12000,Slow,Low,No,None,No,No,No,No,No,Yes,Low,Low,No,No,,No,No,20,Long,Medium
PTAQ,Spring and Summer,Slow,None,,No,No,No,Green,No,Dark Green,Porous,Porous,Medium,Brown,No,Rhizomatous,Moderate,6.6,No,No,No,None,No,Erect,Slight,Yes,No,Yes,None,Medium,No,Medium,Low,High,90,None,Medium,7.0,4.5,10912,2728,60,16,10,None,Tolerant,-43,Summer,Routinely Available,Medium,Summer,Fall,No,Yes,Yes,No,No,No,Yes,No,Yes,No,,Moderate,Medium,No,Moderate,No,No,No,No,No,No,Low,Low,No,No,,No,No,,Moderate,
QUAL,Spring and Summer,,None,High,Yes,Yes,No,Yellow,No,Green,Dense,Porous,Medium,Brown,Yes,Single Stem,Slow,100.0,No,No,No,None,Yes,Erect,None,Yes,No,Yes,None,Medium,No,Medium,Low,Medium,145,None,Medium,6.8,4.5,800,300,80,30,48,Medium,Intermediate,-43,Mid Spring,Routinely Available,High,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,128,Slow,High,No,None,No,No,No,Yes,Yes,Yes,Medium,,No,No,Medium,No,Yes,25,Long,High
QUBI,Spring and Summer,,None,High,Yes,Yes,No,Yellow,No,Green,Dense,Porous,Medium,Brown,Yes,Single Stem,Rapid,100.0,No,No,No,None,Yes,Erect,None,Yes,Yes,Yes,Medium,Low,No,Low,Medium,Medium,120,None,High,6.5,4.3,800,300,48,36,40,None,Intermediate,-28,Early Spring,Routinely Available,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,120,Slow,High,No,None,No,No,No,Yes,Yes,Yes,Medium,,No,No,Medium,No,Yes,30,Long,High
QUCO2,Spring and Summer,,None,High,Yes,Yes,No,Yellow,No,Green,Dense,Porous,Medium,Brown,Yes,Single Stem,Rapid,70.0,No,No,No,None,Yes,Erect,None,Yes,No,Yes,None,Low,Yes,Medium,Medium,Medium,160,None,Medium,6.9,4.5,800,300,55,30,48,None,Intolerant,-28,Mid Spring,No Known Source,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,235,Slow,High,No,None,No,No,No,Yes,Yes,Yes,Medium,,No,No,Medium,No,Yes,30,Long,High
QUFA,Spring and Summer,,None,High,Yes,Yes,No,Yellow,No,Green,Dense,Porous,Coarse,Brown,No,Single Stem,Moderate,75.0,No,No,No,None,Yes,Erect,None,Yes,Yes,Yes,None,Medium,Yes,High,Medium,Low,175,None,Medium,7.0,4.8,800,300,80,40,36,None,Intermediate,-13,Mid Spring,Routinely Available,Medium,Summer,Fall,No,Yes,No,Yes,No,Yes,Yes,No,No,No,540,Slow,Low,No,None,No,No,No,Yes,No,No,Low,Low,No,No,,No,Yes,35,Long,High
QUIM,Spring and Summer,,None,High,No,Yes,No,Yellow,No,Dark Green,Moderate,Porous,Medium,Brown,No,Single Stem,Moderate,45.0,No,No,No,None,Yes,Erect,None,Yes,No,Yes,Low,Medium,Yes,Medium,Medium,Low,160,None,Medium,6.0,4.5,700,300,48,24,24,Low,Intolerant,-18,Late Spring,No Known Source,Medium,Fall,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,415,Slow,Medium,No,None,No,No,No,Yes,No,No,High,Low,No,No,,No,No,30,Moderate,High
QULA2,Spring and Summer,,None,High,Yes,Yes,No,Yellow,No,Green,Moderate,Porous,Medium,Brown,Yes,Single Stem,Rapid,40.0,No,No,No,None,Yes,Erect,None,Yes,No,Yes,None,None,Yes,High,Low,Medium,270,None,Medium,5.8,4.0,800,300,70,40,30,None,Intolerant,-3,Late Spring,No Known Source,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,395,Slow,Medium,No,None,No,No,No,No,No,No,High,,No,No,Low,No,No,30,Short,High
QULA3,Spring and Summer,,None,High,No,Yes,No,Yellow,No,Green,Moderate,Porous,Medium,Brown,Yes,Single Stem,Rapid,70.0,No,No,No,None,Yes,Erect,None,Yes,No,Yes,Low,None,No,Low,Low,Low,220,None,Medium,6.5,4.2,800,300,70,40,36,None,Tolerant,-3,Early Spring,Routinely Available,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,560,Slow,Medium,No,None,No,No,No,No,No,Yes,High,,No,No,Low,Yes,No,28,Short,High
QULY,Spring and Summer,,None,High,No,Yes,No,Yellow,No,Green,Dense,Porous,Medium,Brown,Yes,Single Stem,Moderate,80.0,No,No,No,None,Yes,Erect,None,No,Yes,Yes,High,Low,Yes,None,Medium,Low,180,None,High,7.5,4.5,800,300,60,36,24,None,Intermediate,-23,Mid Spring,Routinely Available,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,140,Slow,Medium,No,None,No,No,No,No,No,Yes,Medium,,No,No,Low,No,No,30,Long,High
QUMA2,Spring and Summer,,None,High,No,Yes,No,Yellow,No,Green,Dense,Porous,Medium,Brown,Yes,Single Stem,Slow,100.0,No,No,No,None,Yes,Erect,None,Yes,Yes,Yes,None,Medium,Yes,High,Medium,High,100,None,Medium,7.5,4.5,800,300,50,15,28,Low,Intermediate,-38,Mid Spring,Routinely Available,Low,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,75,Slow,Medium,No,None,No,No,No,Yes,No,Yes,Medium,,No,No,Low,No,No,25,Long,High
QUMI,Spring and Summer,,None,High,No,Yes,No,Yellow,No,Green,Dense,Porous,Medium,Brown,Yes,Single Stem,Moderate,80.0,No,No,No,None,Yes,Erect,None,No,Yes,Yes,None,None,No,Low,Medium,Low,180,None,Medium,6.5,4.5,800,300,70,40,28,None,Intolerant,-20,Mid Spring,Routinely Available,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,85,Slow,Medium,No,Slow,No,No,No,Yes,Yes,No,Medium,,No,Yes,Low,No,Yes,35,Moderate,High
QUMU,Spring and Summer,,None,High,Yes,Yes,No,Yellow,No,Green,Dense,Porous,Medium,Brown,Yes,Single Stem,Moderate,70.0,No,No,No,None,Yes,Erect,None,No,No,Yes,None,High,No,High,Medium,Low,120,None,Medium,8.0,5.0,800,300,90,20,28,None,Intolerant,-33,Mid Spring,No Known Source,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,400,Slow,Medium,No,None,No,No,No,No,No,No,Medium,,No,No,,No,No,30,Long,High
QUNI,Spring and Summer,,None,High,No,Yes,No,Yellow,No,Green,Dense,Porous,Medium,Brown,Yes,Single Stem,Rapid,90.0,No,No,No,None,Yes,Erect,None,No,Yes,Yes,Medium,None,Yes,Low,Medium,High,190,None,High,7.3,4.8,800,300,70,35,40,None,Intolerant,-20,Mid Spring,Routinely Available,Medium,Summer,Summer,No,Yes,No,Yes,No,No,Yes,No,No,No,395,Moderate,High,No,None,No,No,No,Yes,No,Yes,Low,,No,No,,No,Yes,30,Moderate,High
QURU,Spring and Summer,,None,High,Yes,Yes,No,Yellow,No,Green,Dense,Porous,Medium,Brown,Yes,Single Stem,Moderate,81.0,No,No,No,None,Yes,Erect,None,Yes,Yes,Yes,None,Low,Yes,Low,Low,High,100,None,Medium,7.3,4.3,800,300,80,30,36,Medium,Intermediate,-35,Mid Spring,Routinely Available,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,125,Slow,Medium,No,None,No,No,No,Yes,Yes,Yes,Medium,,No,No,,No,Yes,36,Long,High
QUTE,Spring and Summer,,None,High,No,Yes,No,Yellow,No,Green,Moderate,Porous,Medium,Brown,Yes,Single Stem,Rapid,110.0,No,No,No,None,No,Erect,None,No,Yes,No,Medium,None,Yes,None,Medium,None,110,None,Medium,5.5,4.5,1200,300,65,40,40,None,Intolerant,-18,Early Spring,Routinely Available,High,Spring,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,95,Slow,High,No,None,No,No,No,Yes,Yes,No,Medium,,No,No,High,No,Yes,40,Long,High
RAAB,Spring and Summer,Slow,None,,No,No,No,Yellow,No,Green,Porous,Porous,Medium,Black,No,Multiple Stem,Moderate,2.8,No,No,No,None,No,Erect,None,No,Yes,Yes,None,Medium,No,Low,Medium,None,110,None,Medium,7.5,5.0,43560,10912,58,16,4,None,Tolerant,-43,Spring,Routinely Available,Low,Summer,Summer,No,Yes,No,No,No,No,Yes,No,No,No,25000,Slow,Medium,No,None,No,No,No,No,No,No,Low,Low,No,No,,No,No,,Short,
RAHI,Spring,Slow,None,,No,No,No,Yellow,Yes,Gray-Green,Moderate,Porous,Medium,Yellow,No,Single Stem,Rapid,2.5,No,No,No,None,No,Erect,None,No,Yes,Yes,None,Medium,No,Low,High,Medium,130,None,Medium,8.0,4.5,43560,10912,68,34,4,None,Tolerant,-33,Early Spring,Routinely Available,Medium,Summer,Summer,No,No,No,No,No,No,Yes,No,Yes,No,25000,Slow,Medium,No,None,No,No,No,No,No,No,Medium,Medium,No,No,,No,No,,Moderate,
RALO2,Spring and Summer,,None,Medium,No,No,No,Yellow,Yes,Green,Porous,Porous,Medium,Brown,No,Single Crown,Moderate,1.0,No,No,No,None,No,Semi-Erect,None,No,Yes,Yes,Medium,High,No,Low,Medium,Low,110,None,High,8.0,5.0,,,55,12,10,None,Tolerant,-28,Late Spring,Routinely Available,Low,Spring,Summer,No,No,No,No,No,No,Yes,No,No,No,25000,Slow,Low,No,Moderate,No,No,No,No,No,No,,,No,No,,No,No,,Short,
RASC3,Spring and Summer,,None,Medium,No,No,No,Yellow,Yes,Green,Porous,Porous,Fine,Brown,No,Single Crown,Rapid,2.0,No,No,No,None,No,Erect,None,Yes,Yes,Yes,High,Medium,No,None,Medium,Low,90,None,High,8.4,4.8,,,55,8,6,Low,Tolerant,52,Late Spring,No Known Source,Medium,Spring,Summer,No,No,No,No,No,No,Yes,No,No,No,25000,Moderate,Medium,No,None,No,No,No,No,No,No,,,No,No,,No,No,,Short,
RACO3,Summer,Slow,None,Medium,No,No,No,Yellow,Yes,Green,Porous,Porous,Medium,Brown,Yes,Single Crown,Moderate,3.1,No,No,No,None,No,Erect,None,Yes,Yes,Yes,None,Low,No,Medium,Medium,High,90,None,Medium,7.0,5.9,4800,2700,40,16,14,Low,Intolerant,-43,Mid Summer,Routinely Available,Medium,Summer,Fall,Yes,No,No,Yes,No,No,Yes,No,No,No,737104,Slow,Medium,No,None,No,No,Yes,No,No,Yes,Medium,Medium,No,No,Medium,No,No,,Moderate,
RAPI,Spring and Summer,Slow,None,Medium,No,No,No,Yellow,Yes,Green,Porous,Porous,Coarse,Brown,Yes,Single Crown,Moderate,4.0,No,No,No,None,No,Erect,None,Yes,No,Yes,None,Low,No,Medium,Medium,High,100,None,Medium,6.8,5.6,4800,2700,60,18,14,None,Intolerant,-38,Late Spring,Routinely Available,Medium,Summer,Fall,Yes,No,No,Yes,No,No,Yes,No,No,No,427500,Slow,Medium,No,None,No,No,Yes,No,No,Yes,Medium,Medium,No,No,Low,No,No,,Moderate,
RHCA7,Spring and Summer,,None,High,No,No,No,Purple,Yes,Green,Dense,Moderate,Coarse,Brown,No,Multiple Stem,Slow,14.0,No,No,No,None,No,Erect,Slight,No,Yes,Yes,Medium,None,Yes,Low,Low,Low,200,Low,Medium,5.8,4.3,4800,1200,50,32,14,None,Tolerant,-13,Spring,Routinely Available,Medium,Summer,Summer,No,Yes,No,Yes,No,Yes,Yes,No,No,No,5000000,Slow,Low,No,None,No,No,No,No,No,Yes,Low,Low,No,No,Low,No,No,13,Long,
RHMA4,Spring and Summer,,None,High,No,Yes,Yes,Red,Yes,Dark Green,Dense,Dense,Coarse,Brown,No,Multiple Stem,Slow,25.0,Yes,Yes,No,None,Yes,Semi-Erect,Moderate,Yes,No,Yes,Low,None,No,High,Low,Medium,150,Medium,Medium,5.5,4.0,680,170,60,36,18,None,Tolerant,-13,Mid Spring,Routinely Available,Low,Spring,Summer,No,Yes,No,Yes,No,Yes,Yes,No,No,No,5000000,Slow,Low,No,None,No,No,No,No,No,Yes,,,No,No,,No,No,15,Long,
RHPE4,Spring and Summer,,None,High,No,No,No,Purple,Yes,Green,Moderate,Moderate,Medium,Brown,No,Multiple Stem,Moderate,10.0,No,No,No,None,Yes,Erect,None,Yes,No,Yes,Medium,None,Yes,Medium,Medium,High,190,Medium,Low,5.5,4.3,1700,1200,50,36,8,None,Tolerant,-18,Mid Spring,Contracting Only,Low,Spring,Summer,No,Yes,No,Yes,No,Yes,Yes,No,No,No,,Slow,Low,No,None,No,No,No,No,No,Yes,Low,Low,No,No,,No,No,4,Moderate,
RHCO,Spring and Summer,,None,High,No,Yes,No,Yellow,No,Green,Dense,Porous,Coarse,Brown,Yes,Rhizomatous,Moderate,8.0,No,No,No,None,Yes,Erect,None,Yes,Yes,Yes,Medium,Low,No,Medium,Low,High,140,Low,Low,7.5,5.3,2700,700,60,28,14,None,Intolerant,-28,Mid Spring,Routinely Available,High,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,57000,Slow,High,No,Rapid,No,No,No,No,No,No,Low,Low,No,No,Low,No,No,8,Moderate,
RHGL,Spring and Summer,,None,High,Yes,Yes,No,Yellow,No,Green,Dense,Porous,Coarse,Brown,Yes,Rhizomatous,Moderate,12.0,No,No,No,None,Yes,Erect,None,Yes,No,Yes,Low,Low,No,Medium,Low,High,135,Low,Low,7.5,5.3,1200,300,60,30,24,Medium,Intolerant,-33,Mid Spring,Routinely Available,High,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,59775,Slow,High,No,Moderate,No,No,No,No,No,No,Low,Low,No,No,Low,No,No,12,Short,
RHTY,Spring and Summer,,None,Medium,No,No,No,Red,No,Green,Moderate,Porous,Coarse,Red,Yes,Single Crown,Rapid,30.0,No,No,No,None,Yes,Erect,None,Yes,No,Yes,None,High,No,High,Low,High,100,None,Low,7.2,4.5,1200,300,50,24,20,None,Intermediate,-33,Late Spring,Routinely Available,Medium,Summer,Summer,No,Yes,No,Yes,No,No,Yes,No,No,No,53300,Slow,Medium,No,Moderate,No,No,No,No,No,Yes,Medium,Low,No,No,Medium,No,No,30,Short,
RHCO2,Summer,Slow,None,Medium,No,No,No,Green,No,Yellow-Green,Dense,Porous,Coarse,Yellow,Yes,Single Crown,Rapid,6.6,No,No,No,None,No,Erect,None,Yes,Yes,Yes,High,Medium,No,Medium,Medium,Medium,170,None,Medium,7.4,5.1,4800,2700,50,30,16,None,Intolerant,-13,Late Spring,No Known Source,Medium,Summer,Fall,Yes,No,No,No,No,No,Yes,No,Yes,No,825000,Moderate,High,No,None,No,No,No,No,No,No,,Low,No,No,,No,No,,Moderate,
ROSE,"Spring, Summer, Fall",Slow,None,Medium,No,No,No,Yellow,Yes,Green,Porous,Porous,Fine,Brown,Yes,Single Crown,Rapid,1.5,No,No,No,None,No,Erect,None,Yes,Yes,Yes,High,Low,No,None,Medium,Low,120,None,High,7.5,5.5,,,60,30,8,None,Intermediate,52,Indeterminate,No Known Source,High,Spring,Summer,Yes,No,No,No,No,No,Yes,No,No,No,350000,Moderate,High,No,None,No,No,No,No,No,No,,,No,No,,No,No,,,
ROCA4,Spring and Summer,,None,,No,No,No,White,Yes,Green,Dense,Moderate,Medium,Red,Yes,Multiple Stem,Moderate,5.0,No,No,No,None,Yes,Erect,None,Yes,No,Yes,None,Low,Yes,High,Low,Medium,100,Low,Low,7.0,4.0,10912,2728,60,25,12,Medium,Intermediate,-43,Early Summer,No Known Source,Low,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,50000,Moderate,High,No,Moderate,No,No,No,No,No,Yes,Medium,Medium,No,No,,No,No,5,Moderate,
ROSE2,Spring,,None,,No,No,No,White,Yes,Dark Green,Moderate,Porous,Fine,Red,Yes,Single Stem,Rapid,16.0,No,No,No,None,Yes,Climbing,None,Yes,No,Yes,None,Medium,Yes,High,Medium,Medium,140,Low,Low,7.5,5.0,3450,2728,60,20,6,None,Intolerant,-13,Spring,No Known Source,Medium,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,50000,Slow,High,No,None,No,No,No,No,No,Yes,Medium,Medium,No,No,,No,No,16,Moderate,
ROVI2,Spring and Summer,,None,Medium,No,Yes,No,Purple,Yes,Green,Dense,Moderate,Medium,Red,Yes,Rhizomatous,Moderate,6.0,No,No,No,None,Yes,Semi-Erect,None,Yes,No,Yes,Low,Low,Yes,Low,Medium,High,130,None,Medium,7.0,5.0,4800,700,55,35,16,None,Intermediate,-18,Late Spring,No Known Source,High,Summer,Summer,Yes,Yes,No,Yes,No,No,Yes,No,No,No,,Slow,Medium,No,Slow,No,No,No,No,No,No,Low,Low,No,No,Low,No,No,6,Moderate,
RUOC,Spring and Summer,,None,Low,No,No,No,White,Yes,Green,Moderate,Porous,Coarse,Purple,Yes,Thicket Forming,Rapid,6.0,No,No,No,None,Yes,Erect,None,No,Yes,Yes,Low,High,Yes,Medium,Medium,High,129,None,Medium,7.5,5.2,4800,1200,45,24,12,None,Intermediate,-28,Mid Spring,Routinely Available,High,Summer,Summer,No,Yes,No,Yes,No,No,Yes,No,Yes,No,335000,Slow,Medium,No,Rapid,No,No,No,No,No,No,High,Low,Yes,No,Low,No,No,5,Short,
RUHI2,"Fall, Winter and Spring",,None,Medium,No,No,No,Orange,Yes,Green,Porous,Porous,Coarse,Brown,No,Single Stem,Rapid,1.0,No,No,No,None,No,Semi-Erect,None,No,Yes,Yes,None,None,No,Medium,Medium,Medium,150,None,Medium,7.0,6.0,,,65,28,10,None,Intolerant,-23,Summer,Routinely Available,High,Summer,Summer,No,No,No,No,No,No,Yes,No,No,No,1575760,Moderate,Medium,No,None,No,No,No,No,No,No,Low,Low,No,No,Low,No,No,,Short,
