Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
TRPO,,Tragopogon porrifolius L.,salsify
TRPR,,Tragopogon pratensis L.,Jack-go-to-bed-at-noon
TRPR2,,Trifolium pratense L.,red clover
TRRE3,,Trifolium repens L.,white clover
TRSP2,,Trisetum spicatum (L.) K. Richt.,spike trisetum
TRST2,,Tridens strictus (Nutt.) Nash,longspike tridens
TRSU3,,Trifolium subterraneum L.,subterranean clover
TRVE,,Trifolium vesiculosum Savi,arrowleaf clover
TRVI,,Tradescantia virginiana L.,Virginia spiderwort
TRWO,,Trifolium wormskioldii Lehm.,cows clover
TSCA,,Tsuga canadensis (L.) Carrière,eastern hemlock
TSCA2,,Tsuga caroliniana Engelm.,Carolina hemlock
TSHE,,Tsuga heterophylla (Raf.) Sarg.,western hemlock
TSME,,Tsuga mertensiana (Bong.) Carrière,mountain hemlock
TYAN,,Typha angustifolia L.,narrowleaf cattail
TYLA,,Typha latifolia L.,broadleaf cattail
ULAL,,Ulmus alata Michx.,winged elm
ULAM,,Ulmus americana L.,American elm
ULCR,,Ulmus crassifolia Nutt.,cedar elm
ULPA,,Ulmus parvifolia Jacq.,Chinese elm
ULPU,,Ulmus pumila L.,Siberian elm
ULRU,,Ulmus rubra Muhl.,slippery elm
ULSE,,Ulmus serotina Sarg.,September elm
ULTH,,Ulmus thomasii Sarg.,rock elm
UMCA,,Umbellularia californica (Hook. & Arn.) Nutt.,California laurel
UNPA,,Uniola paniculata L.,seaoats
URBR2,,Urochloa brizantha (Hochst. ex A. Rich.) R. Webster,palisade grass
URMA3,,Urochloa maxima (Jacq.) R. Webster,guineagrass
URMU,,Urochloa mutica (Forssk.) T.Q. Nguyen,para grass
URPL2,,Urochloa platyphylla (Munro ex C. Wright) R.D. Webster,broadleaf signalgrass
URRA,,Urochloa ramosa (L.) Nguyen,
UTMI,,Utricularia minor L.,lesser bladderwort
VAAM3,,Vallisneria americana Michx.,American eelgrass
VAAN,,Vaccinium angustifolium Aiton,lowbush blueberry
VAAR,,Vaccinium arboreum Marshall,farkleberry
VACE,,Vaccinium cespitosum Michx.,dwarf bilberry
VACE,VACA13,"Vaccinium caespitosum Michx., orth. var.",
VACO,,Vaccinium corymbosum L.,highbush blueberry
VACO9,,Vachellia constricta (Benth.) Seigler & Ebinger,whitethorn acacia
VACO9,ACCO2,Acacia constricta Benth.,
VAEL,,Vaccinium elliottii Chapm.,Elliott's blueberry
VAME,,Vaccinium membranaceum Douglas ex Torr.,thinleaf huckleberry
VAOC2,,Valeriana occidentalis A. Heller,western valerian
VAOV,,Vaccinium ovalifolium Sm.,oval-leaf blueberry
VAOV2,,Vaccinium ovatum Pursh,California huckleberry
VAPA,,Vaccinium parvifolium Sm.,red huckleberry
VASC,,Vaccinium scoparium Leiberg ex Coville,grouse whortleberry
VAST,,Vaccinium stamineum L.,deerberry
VAUL,,Vaccinium uliginosum L.,bog blueberry
VAVI,,Vaccinium vitis-idaea L.,lingonberry
VEAM2,,Veronica americana Schwein. ex Benth.,American speedwell
VECA2,,Veratrum californicum Durand,California false hellebore
VEEN,,Verbesina encelioides (Cav.) Benth. & Hook. f. ex A. Gray,golden crownbeard
VEMI2,,Vernonia missurica Raf.,Missouri ironweed
VENO,,Vernonia noveboracensis (L.) Michx.,New York ironweed
VEWO2,,Veronica wormskjoldii Roem. & Schult.,American alpine speedwell
VEZI80,,Vetiveria zizanioides (L.) Nash,vetivergrass
VIAC,,Viburnum acerifolium L.,mapleleaf viburnum
VIAE,,Vitis aestivalis Michx.,summer grape
VIAM,,Vicia americana Muhl. ex Willd.,American vetch
VIBE,,Vicia benghalensis L.,
VICI2,,Vitis cinerea (Engelm.) Engelm. ex Millard,graybark grape
VICR,,Vicia cracca L.,bird vetch
VIDED4,,Viburnum dentatum L. var. dentatum,southern arrowwood
VIDI2,,Vitex divaricata Sw.,higuerillo
VIED,,Viburnum edule (Michx.) Raf.,squashberry
VIGR,,Vicia grandiflora Scop.,large yellow vetch
VILA,,Viburnum lantana L.,wayfaringtree
VILA11,,Viburnum lantanoides Michx.,hobblebush
VILE,,Viburnum lentago L.,nannyberry
VILU2,,Vicia lutea L.,smooth yellow vetch
VIMA2,,Viola macloskeyi Lloyd,small white violet
VIMI2,,Vinca minor L.,common periwinkle
VINUC,,Viburnum nudum L. var. cassinoides (L.) Torr. & A. Gray,withe-rod
VIOB,,Viburnum obovatum Walter,small-leaf arrowwood
VIOP,,Viburnum opulus L.,European cranberrybush
VIOPA2,,Viburnum opulus L. var. americanum Aiton,American cranberrybush
VIPA7,,Vitis palmata Vahl,catbird grape
VIPR,,Viburnum prunifolium L.,blackhaw
VIPU3,,Viola pubescens Aiton,downy yellow violet
VIRA,,Viburnum rafinesqueanum Schult.,downy arrowwood
VIRA4,,Vigna radiata (L.) R. Wilczek,mung bean
VIRE7,,Viburnum recognitum Fernald,southern arrowwood
VIRE7,VIDEL,Viburnum dentatum L. var. lucidum Aiton,
VIRI,,Vitis riparia Michx.,riverbank grape
VIRO3,,Vitis rotundifolia Michx.,muscadine
VISA,,Vicia sativa L.,garden vetch
VISO,,Viola sororia Willd.,common blue violet
VITRV,,Vitex trifolia L. var. variegata Moldenke,varigated chastetree
VIUN,,Vigna unguiculata (L.) Walp.,cowpea
VIVI,,Vicia villosa Roth,winter vetch
VIVIV8,,Vicia villosa Roth ssp. varia (Host) Corb.,winter vetch
VIVU,,Vitis vulpina L.,frost grape
VUMY,,Vulpia myuros (L.) C.C. Gmel.,
WIFR,,Wisteria frutescens (L.) Poir.,American wisteria
WIUV,,Wikstroemia uva-ursi A. Gray,hillside false ohelo
WYAM,,Wyethia amplexicaulis (Nutt.) Nutt.,mule-ears
WYMO,,Wyethia mollis A. Gray,woolly mule-ears
XETE,,Xerophyllum tenax (Pursh) Nutt.,common beargrass
YUAL,,Yucca aloifolia L.,aloe yucca
YUBA,,Yucca baccata Torr.,banana yucca
YUBRB,,Yucca brevifolia Engelm. var. brevifolia,Joshua tree
YUEL,,Yucca elata (Engelm.) Engelm.,soaptree yucca
YUGL,,Yucca glauca Nutt.,soapweed yucca
ZEMA,,Zea mays L.,corn
ZEPU3,,Zenobia pulverulenta (W. Bartram ex Willd.) Pollard,honeycup
ZESE80,,Zelkova serrata (Thunb.) Makino,Japanese zelkova
ZIAQ,,Zizania aquatica L.,annual wildrice
ZIMI,,Zizaniopsis miliacea (Michx.) Döll & Asch.,giant cutgrass
ZIPA2,,Zigadenus paniculatus (Nutt.) S. Watson,foothill deathcamas
ZOJA,,Zoysia japonica Steud.,Korean lawngrass
ZOMA2,,Zoysia matrella (L.) Merr.,Manila grass
